ID,Jenis Sayuran,Tanggal Harga,Musim,Harga Beli Pengepul per Kilogram
259,Sawi Putih,2/13/2021,Hujan,1400
260,Cabe Chilli,2/13/2021,Hujan,24900
261,Cabe Kriting,2/13/2021,Hujan,26400
262,Cabe Rawit,2/13/2021,Hujan,49900
263,Kol,2/13/2021,Hujan,2900
264,Buncis,2/13/2021,Hujan,4300
265,Sawi Putih,2/14/2021,Hujan,3900
266,Cabe Chilli,2/14/2021,Hujan,28900
267,Cabe Kriting,2/14/2021,Hujan,39000
268,Cabe Rawit,2/14/2021,Hujan,48200
269,Kol,2/14/2021,Hujan,3600
270,Buncis,2/14/2021,Hujan,3800
271,Sawi Putih,2/15/2021,Hujan,3200
272,Cabe Chilli,2/15/2021,Hujan,24800
273,Cabe Kriting,2/15/2021,Hujan,30300
274,Cabe Rawit,2/15/2021,Hujan,41200
275,Kol,2/15/2021,Hujan,4200
276,Buncis,2/15/2021,Hujan,5500
277,Sawi Putih,2/16/2021,Hujan,1300
278,Cabe Chilli,2/16/2021,Hujan,21200
279,Cabe Kriting,2/16/2021,Hujan,31300
280,Cabe Rawit,2/16/2021,Hujan,52100
281,Kol,2/16/2021,Hujan,4300
282,Buncis,2/16/2021,Hujan,2000
283,Sawi Putih,2/17/2021,Hujan,1400
284,Cabe Chilli,2/17/2021,Hujan,24700
285,Cabe Kriting,2/17/2021,Hujan,30700
286,Cabe Rawit,2/17/2021,Hujan,54900
287,Kol,2/17/2021,Hujan,2400
288,Buncis,2/17/2021,Hujan,3000
289,Sawi Putih,2/18/2021,Hujan,1900
290,Cabe Chilli,2/18/2021,Hujan,23000
291,Cabe Kriting,2/18/2021,Hujan,35600
292,Cabe Rawit,2/18/2021,Hujan,52200
293,Kol,2/18/2021,Hujan,2100
294,Buncis,2/18/2021,Hujan,2800
295,Sawi Putih,2/19/2021,Hujan,2500
296,Cabe Chilli,2/19/2021,Hujan,24500
297,Cabe Kriting,2/19/2021,Hujan,26400
298,Cabe Rawit,2/19/2021,Hujan,49700
299,Kol,2/19/2021,Hujan,5400
300,Buncis,2/19/2021,Hujan,2400
301,Sawi Putih,2/20/2021,Hujan,2800
302,Cabe Chilli,2/20/2021,Hujan,22500
303,Cabe Kriting,2/20/2021,Hujan,35700
304,Cabe Rawit,2/20/2021,Hujan,50200
305,Kol,2/20/2021,Hujan,6500
306,Buncis,2/20/2021,Hujan,5400
307,Sawi Putih,2/21/2021,Hujan,1600
308,Cabe Chilli,2/21/2021,Hujan,21900
309,Cabe Kriting,2/21/2021,Hujan,28800
310,Cabe Rawit,2/21/2021,Hujan,39000
311,Kol,2/21/2021,Hujan,4400
312,Buncis,2/21/2021,Hujan,5300
313,Sawi Putih,2/22/2021,Hujan,3500
314,Cabe Chilli,2/22/2021,Hujan,24200
315,Cabe Kriting,2/22/2021,Hujan,36000
316,Cabe Rawit,2/22/2021,Hujan,54400
317,Kol,2/22/2021,Hujan,3400
318,Buncis,2/22/2021,Hujan,3000
319,Sawi Putih,2/23/2021,Hujan,700
320,Cabe Chilli,2/23/2021,Hujan,25500
321,Cabe Kriting,2/23/2021,Hujan,31500
322,Cabe Rawit,2/23/2021,Hujan,53700
323,Kol,2/23/2021,Hujan,3000
324,Buncis,2/23/2021,Hujan,6600
325,Sawi Putih,2/24/2021,Hujan,2100
326,Cabe Chilli,2/24/2021,Hujan,26700
327,Cabe Kriting,2/24/2021,Hujan,28400
328,Cabe Rawit,2/24/2021,Hujan,44600
329,Kol,2/24/2021,Hujan,1800
330,Buncis,2/24/2021,Hujan,4800
331,Sawi Putih,2/25/2021,Hujan,1100
332,Cabe Chilli,2/25/2021,Hujan,25500
333,Cabe Kriting,2/25/2021,Hujan,31100
334,Cabe Rawit,2/25/2021,Hujan,50200
335,Kol,2/25/2021,Hujan,5600
336,Buncis,2/25/2021,Hujan,6400
337,Sawi Putih,2/26/2021,Hujan,3700
338,Cabe Chilli,2/26/2021,Hujan,26800
339,Cabe Kriting,2/26/2021,Hujan,31100
340,Cabe Rawit,2/26/2021,Hujan,44800
341,Kol,2/26/2021,Hujan,3000
342,Buncis,2/26/2021,Hujan,3100
343,Sawi Putih,2/27/2021,Hujan,1100
344,Cabe Chilli,2/27/2021,Hujan,32100
345,Cabe Kriting,2/27/2021,Hujan,28500
346,Cabe Rawit,2/27/2021,Hujan,46700
347,Kol,2/27/2021,Hujan,5500
348,Buncis,2/27/2021,Hujan,5600
349,Sawi Putih,2/28/2021,Hujan,3500
350,Cabe Chilli,2/28/2021,Hujan,29200
351,Cabe Kriting,2/28/2021,Hujan,28100
352,Cabe Rawit,2/28/2021,Hujan,41200
353,Kol,2/28/2021,Hujan,1800
354,Buncis,2/28/2021,Hujan,3600
355,Sawi Putih,3/1/2021,Hujan,2000
356,Cabe Chilli,3/1/2021,Hujan,20700
357,Cabe Kriting,3/1/2021,Hujan,36800
358,Cabe Rawit,3/1/2021,Hujan,43600
359,Kol,3/1/2021,Hujan,4600
360,Buncis,3/1/2021,Hujan,4800
361,Sawi Putih,3/2/2021,Hujan,3200
362,Cabe Chilli,3/2/2021,Hujan,30100
363,Cabe Kriting,3/2/2021,Hujan,28600
364,Cabe Rawit,3/2/2021,Hujan,40500
365,Kol,3/2/2021,Hujan,4500
366,Buncis,3/2/2021,Hujan,5600
367,Sawi Putih,3/3/2021,Hujan,500
368,Cabe Chilli,3/3/2021,Hujan,24800
369,Cabe Kriting,3/3/2021,Hujan,29000
370,Cabe Rawit,3/3/2021,Hujan,38300
371,Kol,3/3/2021,Hujan,5200
372,Buncis,3/3/2021,Hujan,5200
373,Sawi Putih,3/4/2021,Hujan,3900
374,Cabe Chilli,3/4/2021,Hujan,24900
375,Cabe Kriting,3/4/2021,Hujan,32500
376,Cabe Rawit,3/4/2021,Hujan,44300
377,Kol,3/4/2021,Hujan,6200
378,Buncis,3/4/2021,Hujan,3300
379,Sawi Putih,3/5/2021,Hujan,3700
380,Cabe Chilli,3/5/2021,Hujan,22300
381,Cabe Kriting,3/5/2021,Hujan,30100
382,Cabe Rawit,3/5/2021,Hujan,51900
383,Kol,3/5/2021,Hujan,3100
384,Buncis,3/5/2021,Hujan,2900
385,Sawi Putih,3/6/2021,Hujan,1800
386,Cabe Chilli,3/6/2021,Hujan,23400
387,Cabe Kriting,3/6/2021,Hujan,29400
388,Cabe Rawit,3/6/2021,Hujan,52500
389,Kol,3/6/2021,Hujan,2900
390,Buncis,3/6/2021,Hujan,5300
391,Sawi Putih,3/7/2021,Hujan,4100
392,Cabe Chilli,3/7/2021,Hujan,21200
393,Cabe Kriting,3/7/2021,Hujan,39700
394,Cabe Rawit,3/7/2021,Hujan,51100
395,Kol,3/7/2021,Hujan,6100
396,Buncis,3/7/2021,Hujan,5600
397,Sawi Putih,3/8/2021,Hujan,3400
398,Cabe Chilli,3/8/2021,Hujan,24800
399,Cabe Kriting,3/8/2021,Hujan,33300
400,Cabe Rawit,3/8/2021,Hujan,40000
401,Kol,3/8/2021,Hujan,3200
402,Buncis,3/8/2021,Hujan,2900
403,Sawi Putih,3/9/2021,Hujan,900
404,Cabe Chilli,3/9/2021,Hujan,22400
405,Cabe Kriting,3/9/2021,Hujan,33400
406,Cabe Rawit,3/9/2021,Hujan,44400
407,Kol,3/9/2021,Hujan,2200
408,Buncis,3/9/2021,Hujan,3800
409,Sawi Putih,3/10/2021,Hujan,3400
410,Cabe Chilli,3/10/2021,Hujan,26600
411,Cabe Kriting,3/10/2021,Hujan,32900
412,Cabe Rawit,3/10/2021,Hujan,53600
413,Kol,3/10/2021,Hujan,2500
414,Buncis,3/10/2021,Hujan,5500
415,Sawi Putih,3/11/2021,Hujan,2600
416,Cabe Chilli,3/11/2021,Hujan,22100
417,Cabe Kriting,3/11/2021,Hujan,24000
418,Cabe Rawit,3/11/2021,Hujan,40400
419,Kol,3/11/2021,Hujan,3600
420,Buncis,3/11/2021,Hujan,5000
421,Sawi Putih,3/12/2021,Hujan,3800
422,Cabe Chilli,3/12/2021,Hujan,25100
423,Cabe Kriting,3/12/2021,Hujan,36400
424,Cabe Rawit,3/12/2021,Hujan,49000
425,Kol,3/12/2021,Hujan,5100
426,Buncis,3/12/2021,Hujan,6100
427,Sawi Putih,3/13/2021,Hujan,1800
428,Cabe Chilli,3/13/2021,Hujan,29800
429,Cabe Kriting,3/13/2021,Hujan,35500
430,Cabe Rawit,3/13/2021,Hujan,52500
431,Kol,3/13/2021,Hujan,5000
432,Buncis,3/13/2021,Hujan,5200
433,Sawi Putih,3/14/2021,Hujan,2700
434,Cabe Chilli,3/14/2021,Hujan,22200
435,Cabe Kriting,3/14/2021,Hujan,28700
436,Cabe Rawit,3/14/2021,Hujan,49000
437,Kol,3/14/2021,Hujan,2000
438,Buncis,3/14/2021,Hujan,6700
439,Sawi Putih,3/15/2021,Hujan,700
440,Cabe Chilli,3/15/2021,Hujan,25400
441,Cabe Kriting,3/15/2021,Hujan,37600
442,Cabe Rawit,3/15/2021,Hujan,52000
443,Kol,3/15/2021,Hujan,5200
444,Buncis,3/15/2021,Hujan,4900
445,Sawi Putih,3/16/2021,Hujan,1100
446,Cabe Chilli,3/16/2021,Hujan,24600
447,Cabe Kriting,3/16/2021,Hujan,31100
448,Cabe Rawit,3/16/2021,Hujan,50100
449,Kol,3/16/2021,Hujan,6200
450,Buncis,3/16/2021,Hujan,5300
451,Sawi Putih,3/17/2021,Hujan,2700
452,Cabe Chilli,3/17/2021,Hujan,28700
453,Cabe Kriting,3/17/2021,Hujan,28200
454,Cabe Rawit,3/17/2021,Hujan,48700
455,Kol,3/17/2021,Hujan,4200
456,Buncis,3/17/2021,Hujan,5700
457,Sawi Putih,3/18/2021,Hujan,1100
458,Cabe Chilli,3/18/2021,Hujan,25400
459,Cabe Kriting,3/18/2021,Hujan,31600
460,Cabe Rawit,3/18/2021,Hujan,46700
461,Kol,3/18/2021,Hujan,3300
462,Buncis,3/18/2021,Hujan,5400
463,Sawi Putih,3/19/2021,Hujan,3900
464,Cabe Chilli,3/19/2021,Hujan,30000
465,Cabe Kriting,3/19/2021,Hujan,32400
466,Cabe Rawit,3/19/2021,Hujan,48800
467,Kol,3/19/2021,Hujan,5600
468,Buncis,3/19/2021,Hujan,6000
469,Sawi Putih,3/20/2021,Hujan,1400
470,Cabe Chilli,3/20/2021,Hujan,31200
471,Cabe Kriting,3/20/2021,Hujan,36100
472,Cabe Rawit,3/20/2021,Hujan,51600
473,Kol,3/20/2021,Hujan,2800
474,Buncis,3/20/2021,Hujan,5700
475,Sawi Putih,3/21/2021,Hujan,1400
476,Cabe Chilli,3/21/2021,Hujan,28300
477,Cabe Kriting,3/21/2021,Hujan,34100
478,Cabe Rawit,3/21/2021,Hujan,49000
479,Kol,3/21/2021,Hujan,5800
480,Buncis,3/21/2021,Hujan,4400
481,Sawi Putih,3/22/2021,Hujan,1400
482,Cabe Chilli,3/22/2021,Hujan,30600
483,Cabe Kriting,3/22/2021,Hujan,29800
484,Cabe Rawit,3/22/2021,Hujan,49300
485,Kol,3/22/2021,Hujan,2100
486,Buncis,3/22/2021,Hujan,3700
487,Sawi Putih,3/23/2021,Hujan,700
488,Cabe Chilli,3/23/2021,Hujan,27100
489,Cabe Kriting,3/23/2021,Hujan,36000
490,Cabe Rawit,3/23/2021,Hujan,46800
491,Kol,3/23/2021,Hujan,3700
492,Buncis,3/23/2021,Hujan,5400
493,Sawi Putih,3/24/2021,Hujan,2600
494,Cabe Chilli,3/24/2021,Hujan,21000
495,Cabe Kriting,3/24/2021,Hujan,29000
496,Cabe Rawit,3/24/2021,Hujan,41800
497,Kol,3/24/2021,Hujan,4900
498,Buncis,3/24/2021,Hujan,4700
499,Sawi Putih,3/25/2021,Hujan,2000
500,Cabe Chilli,3/25/2021,Hujan,19700
501,Cabe Kriting,3/25/2021,Hujan,26800
502,Cabe Rawit,3/25/2021,Hujan,59900
503,Kol,3/25/2021,Hujan,4700
504,Buncis,3/25/2021,Hujan,6300
505,Sawi Putih,3/26/2021,Hujan,2400
506,Cabe Chilli,3/26/2021,Hujan,24700
507,Cabe Kriting,3/26/2021,Hujan,31400
508,Cabe Rawit,3/26/2021,Hujan,46500
509,Kol,3/26/2021,Hujan,1800
510,Buncis,3/26/2021,Hujan,6800
511,Sawi Putih,3/27/2021,Hujan,900
512,Cabe Chilli,3/27/2021,Hujan,24000
513,Cabe Kriting,3/27/2021,Hujan,29100
514,Cabe Rawit,3/27/2021,Hujan,37700
515,Kol,3/27/2021,Hujan,6900
516,Buncis,3/27/2021,Hujan,2500
517,Sawi Putih,3/28/2021,Hujan,1200
518,Cabe Chilli,3/28/2021,Hujan,23200
519,Cabe Kriting,3/28/2021,Hujan,32100
520,Cabe Rawit,3/28/2021,Hujan,46500
521,Kol,3/28/2021,Hujan,2100
522,Buncis,3/28/2021,Hujan,2000
523,Sawi Putih,3/29/2021,Hujan,3100
524,Cabe Chilli,3/29/2021,Hujan,24000
525,Cabe Kriting,3/29/2021,Hujan,35200
526,Cabe Rawit,3/29/2021,Hujan,41200
527,Kol,3/29/2021,Hujan,3500
528,Buncis,3/29/2021,Hujan,5400
529,Sawi Putih,3/30/2021,Hujan,1000
530,Cabe Chilli,3/30/2021,Hujan,24100
531,Cabe Kriting,3/30/2021,Hujan,31100
532,Cabe Rawit,3/30/2021,Hujan,43500
533,Kol,3/30/2021,Hujan,6200
534,Buncis,3/30/2021,Hujan,5400
535,Sawi Putih,3/31/2021,Hujan,1100
536,Cabe Chilli,3/31/2021,Hujan,21000
537,Cabe Kriting,3/31/2021,Hujan,31500
538,Cabe Rawit,3/31/2021,Hujan,49600
539,Kol,3/31/2021,Hujan,4100
540,Buncis,3/31/2021,Hujan,4500
541,Sawi Putih,4/1/2021,Kemarau,3000
542,Cabe Chilli,4/1/2021,Kemarau,34300
543,Cabe Kriting,4/1/2021,Kemarau,32000
544,Cabe Rawit,4/1/2021,Kemarau,63400
545,Kol,4/1/2021,Kemarau,5200
546,Buncis,4/1/2021,Kemarau,4700
547,Sawi Putih,4/2/2021,Kemarau,2200
548,Cabe Chilli,4/2/2021,Kemarau,23000
549,Cabe Kriting,4/2/2021,Kemarau,36400
550,Cabe Rawit,4/2/2021,Kemarau,53800
551,Kol,4/2/2021,Kemarau,9400
552,Buncis,4/2/2021,Kemarau,2200
553,Sawi Putih,4/3/2021,Kemarau,2000
554,Cabe Chilli,4/3/2021,Kemarau,30700
555,Cabe Kriting,4/3/2021,Kemarau,33400
556,Cabe Rawit,4/3/2021,Kemarau,48600
557,Kol,4/3/2021,Kemarau,6600
558,Buncis,4/3/2021,Kemarau,5500
559,Sawi Putih,4/4/2021,Kemarau,3000
560,Cabe Chilli,4/4/2021,Kemarau,33600
561,Cabe Kriting,4/4/2021,Kemarau,32300
562,Cabe Rawit,4/4/2021,Kemarau,47300
563,Kol,4/4/2021,Kemarau,6200
564,Buncis,4/4/2021,Kemarau,6400
565,Sawi Putih,4/5/2021,Kemarau,3400
566,Cabe Chilli,4/5/2021,Kemarau,31700
567,Cabe Kriting,4/5/2021,Kemarau,32700
568,Cabe Rawit,4/5/2021,Kemarau,57500
569,Kol,4/5/2021,Kemarau,6600
570,Buncis,4/5/2021,Kemarau,2900
