Id,Jenis Sayuran,Harga Sayuran per KG,Tanggal Harga,Musim,Harga Pasar
80,Cabe Kriting,48978,2021-01-12,Hujan,55144.86701570474
81,Cabe Rawit,59930,2021-01-12,Hujan,66800.91764630428
82,Kol,7938,2021-01-12,Hujan,8801.367360170834
83,Buncis,6529,2021-01-12,Hujan,7289.839252551686
84,Tomat,8730,2021-01-12,Hujan,9927.356970637857
85,Sawi Putih,3781,2021-01-13,Hujan,4224.806088714476
86,Cabe Chilli,34440,2021-01-13,Hujan,37907.97433266764
87,Cabe Kriting,34311,2021-01-13,Hujan,38221.9723342118
88,Cabe Rawit,41350,2021-01-13,Hujan,45755.40354622903
89,Kol,2468,2021-01-13,Hujan,2799.83560202971
90,Buncis,3015,2021-01-13,Hujan,3319.8747442729527
91,Tomat,7553,2021-01-13,Hujan,8414.55063333889
92,Sawi Putih,992,2021-01-14,Hujan,1132.6350660402463
93,Cabe Chilli,41811,2021-01-14,Hujan,47994.73724784282
94,Cabe Kriting,52646,2021-01-14,Hujan,59323.10115532442
95,Cabe Rawit,82898,2021-01-14,Hujan,94601.2174911899
96,Kol,6311,2021-01-14,Hujan,7233.26863676524
97,Buncis,7245,2021-01-14,Hujan,8208.980719327006
98,Tomat,8116,2021-01-14,Hujan,9123.310279354833
99,Sawi Putih,4935,2021-01-15,Hujan,5616.578386449259
100,Cabe Chilli,64173,2021-01-15,Hujan,73081.26979148295
101,Cabe Kriting,73620,2021-01-15,Hujan,82974.27762614924
102,Cabe Rawit,91208,2021-01-15,Hujan,103757.86979566989
103,Kol,6048,2021-01-15,Hujan,6880.578184429425
104,Buncis,3152,2021-01-15,Hujan,3484.097711497322
105,Tomat,4373,2021-01-15,Hujan,4883.140405017829
106,Sawi Putih,3776,2021-01-16,Hujan,4157.704786586468
107,Cabe Chilli,49268,2021-01-16,Hujan,56322.31793487208
108,Cabe Kriting,46955,2021-01-16,Hujan,53301.859385222364
109,Cabe Rawit,40254,2021-01-16,Hujan,45516.106942673505
110,Kol,6487,2021-01-16,Hujan,7319.879347264746
111,Buncis,6999,2021-01-16,Hujan,7944.911537343053
112,Tomat,8797,2021-01-16,Hujan,9810.778590579333
113,Sawi Putih,4749,2021-01-17,Hujan,5292.9736529788315
114,Cabe Chilli,60932,2021-01-17,Hujan,69811.90724058
115,Cabe Kriting,63170,2021-01-17,Hujan,71245.9747470753
116,Cabe Rawit,24743,2021-01-17,Hujan,27312.091185965757
117,Kol,7191,2021-01-17,Hujan,8031.255400605929
118,Buncis,3234,2021-01-17,Hujan,3706.0485314255066
119,Tomat,3364,2021-01-17,Hujan,3761.041217308833
120,Sawi Putih,3820,2021-01-18,Hujan,4214.48189384792
121,Cabe Chilli,25670,2021-01-18,Hujan,28254.221973668286
122,Cabe Kriting,56398,2021-01-18,Hujan,63325.976994568686
123,Cabe Rawit,50345,2021-01-18,Hujan,57759.13126528247
124,Kol,5617,2021-01-18,Hujan,6386.167625968271
125,Buncis,4663,2021-01-18,Hujan,5324.584892934398
126,Tomat,6409,2021-01-18,Hujan,7194.411898642585
127,Sawi Putih,2148,2021-01-19,Hujan,2365.257871068565
128,Cabe Chilli,51262,2021-01-19,Hujan,56436.71397796407
129,Cabe Kriting,76428,2021-01-19,Hujan,85745.8662897781
130,Cabe Rawit,72338,2021-01-19,Hujan,80924.27523259335
131,Kol,2994,2021-01-19,Hujan,3385.4887423632517
132,Buncis,2973,2021-01-19,Hujan,3378.9592853984295
133,Tomat,3173,2021-01-19,Hujan,3617.3691198639226
134,Sawi Putih,863,2021-01-20,Hujan,969.7342763738864
135,Cabe Chilli,25705,2021-01-20,Hujan,28942.669154846968
136,Cabe Kriting,30067,2021-01-20,Hujan,33624.93525207664
137,Cabe Rawit,49090,2021-01-20,Hujan,54398.32522774511
138,Kol,6064,2021-01-20,Hujan,6696.2250186970305
139,Buncis,6287,2021-01-20,Hujan,6948.970076854807
140,Tomat,8131,2021-01-20,Hujan,9004.386111684724
141,Sawi Putih,2444,2021-01-21,Hujan,2697.2710980837874
142,Cabe Chilli,28813,2021-01-21,Hujan,32969.29054955033
143,Cabe Kriting,47902,2021-01-21,Hujan,53302.68893867052
144,Cabe Rawit,58774,2021-01-21,Hujan,67236.55039987912
145,Kol,5878,2021-01-21,Hujan,6650.1581493741105
146,Buncis,2306,2021-01-21,Hujan,2618.0823405429983
147,Tomat,6440,2021-01-21,Hujan,7162.820503253473
148,Sawi Putih,1017,2021-01-22,Hujan,1153.416155570202
149,Cabe Chilli,34262,2021-01-22,Hujan,38877.32889348624
150,Cabe Kriting,23407,2021-01-22,Hujan,26468.846631537548
151,Cabe Rawit,45215,2021-01-22,Hujan,49856.37038021865
152,Kol,7922,2021-01-22,Hujan,8859.166836609002
153,Buncis,7306,2021-01-22,Hujan,8373.627969059848
154,Tomat,6731,2021-01-22,Hujan,7633.602710710083
155,Sawi Putih,1883,2021-01-23,Hujan,2140.0360876931186
156,Cabe Chilli,65075,2021-01-23,Hujan,74234.8893881822
157,Cabe Kriting,46405,2021-01-23,Hujan,52657.22364787476
158,Cabe Rawit,35449,2021-01-23,Hujan,39611.41470047207
159,Kol,7569,2021-01-23,Hujan,8527.74720007738
160,Buncis,3643,2021-01-23,Hujan,4070.932659844203
161,Tomat,9271,2021-01-23,Hujan,10451.715193171141
162,Sawi Putih,3161,2021-01-24,Hujan,3516.852198778719
163,Cabe Chilli,61206,2021-01-24,Hujan,69655.71455612124
164,Cabe Kriting,35046,2021-01-24,Hujan,38805.95938956276
165,Cabe Rawit,38490,2021-01-24,Hujan,44241.042490617314
166,Kol,5361,2021-01-24,Hujan,5970.096803489217
167,Buncis,6714,2021-01-24,Hujan,7402.018067451389
168,Tomat,9426,2021-01-24,Hujan,10757.490095864368
169,Sawi Putih,1432,2021-01-25,Hujan,1617.3383825754229
170,Cabe Chilli,64246,2021-01-25,Hujan,73591.40557491001
171,Cabe Kriting,52109,2021-01-25,Hujan,58732.12923226037
172,Cabe Rawit,24977,2021-01-25,Hujan,28542.50349369239
173,Kol,2212,2021-01-25,Hujan,2460.418318704521
174,Buncis,7051,2021-01-25,Hujan,8091.474598775665
175,Tomat,9301,2021-01-25,Hujan,10428.047368710344
176,Sawi Putih,3967,2021-01-26,Hujan,4431.81019940921
177,Cabe Chilli,55729,2021-01-26,Hujan,61843.73147688079
178,Cabe Kriting,74999,2021-01-26,Hujan,86132.81899168184
179,Cabe Rawit,98937,2021-01-26,Hujan,113396.69042706229
180,Kol,6661,2021-01-26,Hujan,7346.913785280384
181,Buncis,6437,2021-01-26,Hujan,7354.565827354017
182,Tomat,1103,2021-01-26,Hujan,1248.988805709732
183,Sawi Putih,3898,2021-01-27,Hujan,4385.194333178519
184,Cabe Chilli,42576,2021-01-27,Hujan,47404.461034333544
185,Cabe Kriting,51053,2021-01-27,Hujan,57841.19954306125
186,Cabe Rawit,67655,2021-01-27,Hujan,76363.5317254029
187,Kol,2939,2021-01-27,Hujan,3361.215319599002
188,Buncis,2875,2021-01-27,Hujan,3266.6767985252286
189,Tomat,1295,2021-01-27,Hujan,1438.4796304831102
190,Sawi Putih,2512,2021-01-28,Hujan,2868.179985735087
191,Cabe Chilli,58537,2021-01-28,Hujan,65852.37979834655
192,Cabe Kriting,54472,2021-01-28,Hujan,60099.11788502611
193,Cabe Rawit,79724,2021-01-28,Hujan,89647.66237872529
194,Kol,5678,2021-01-28,Hujan,6401.469521755015
195,Buncis,4119,2021-01-28,Hujan,4637.094920329566
196,Tomat,8059,2021-01-28,Hujan,8946.944869029914
197,Sawi Putih,2310,2021-01-29,Hujan,2620.373277321131
198,Cabe Chilli,44082,2021-01-29,Hujan,49867.618143581545
199,Cabe Kriting,21592,2021-01-29,Hujan,23937.447459907264
200,Cabe Rawit,79472,2021-01-29,Hujan,90693.81856625264
201,Kol,5679,2021-01-29,Hujan,6308.915821400269
202,Buncis,4654,2021-01-29,Hujan,5265.721629128484
203,Tomat,8287,2021-01-29,Hujan,9291.155018583515
204,Sawi Putih,896,2021-01-30,Hujan,997.3499898956395
205,Cabe Chilli,61039,2021-01-30,Hujan,68456.81571470287
206,Cabe Kriting,52234,2021-01-30,Hujan,59734.53015419451
207,Cabe Rawit,45879,2021-01-30,Hujan,52131.546946627524
208,Kol,4878,2021-01-30,Hujan,5598.1110237144085
209,Buncis,4018,2021-01-30,Hujan,4464.232198126581
210,Tomat,9299,2021-01-30,Hujan,10611.275278414
211,Sawi Putih,4249,2021-01-31,Hujan,4866.750366087769
212,Cabe Chilli,70719,2021-01-31,Hujan,80705.82213522811
213,Cabe Kriting,71590,2021-01-31,Hujan,79986.68890888977
214,Cabe Rawit,88015,2021-01-31,Hujan,100071.65988422408
215,Kol,3646,2021-01-31,Hujan,4037.1993389091704
216,Buncis,2275,2021-01-31,Hujan,2573.058224465954
217,Tomat,9621,2021-01-31,Hujan,10704.275617355092
218,Sawi Putih,2611,2021-02-01,Hujan,2992.6061561855026
219,Cabe Chilli,54135,2021-02-01,Hujan,59677.81021958484
220,Cabe Kriting,39434,2021-02-01,Hujan,43931.44494967763
221,Cabe Rawit,31083,2021-02-01,Hujan,35085.09574784945
222,Kol,7199,2021-02-01,Hujan,8247.82423464105
223,Buncis,3269,2021-02-01,Hujan,3654.5042229290593
224,Tomat,8593,2021-02-01,Hujan,9504.156920386458
225,Sawi Putih,2243,2021-02-02,Hujan,2565.0701134216356
226,Cabe Chilli,28067,2021-02-02,Hujan,31973.933873946604
227,Cabe Kriting,54252,2021-02-02,Hujan,60704.24871796304
228,Cabe Rawit,83236,2021-02-02,Hujan,93542.7939161217
229,Kol,3111,2021-02-02,Hujan,3534.3973618112686
230,Buncis,3453,2021-02-02,Hujan,3837.778870054041
231,Tomat,3884,2021-02-02,Hujan,4283.1099722072995
232,Sawi Putih,1360,2021-02-03,Hujan,1540.648722696546
233,Cabe Chilli,20028,2021-02-03,Hujan,22518.85608027389
234,Cabe Kriting,21851,2021-02-03,Hujan,24360.40658022251
235,Cabe Rawit,52686,2021-02-03,Hujan,58943.824342152126
236,Kol,5428,2021-02-03,Hujan,6103.4327230635645
237,Buncis,3261,2021-02-03,Hujan,3681.971483428575
238,Tomat,1592,2021-02-03,Hujan,1788.8592353005645
239,Sawi Putih,4832,2021-02-04,Hujan,5487.812221994678
240,Cabe Chilli,28014,2021-02-04,Hujan,30974.04448676987
241,Cabe Kriting,35063,2021-02-04,Hujan,38940.358197543945
242,Cabe Rawit,47846,2021-02-04,Hujan,53300.18468814215
243,Kol,5234,2021-02-04,Hujan,5867.944799051592
244,Buncis,2618,2021-02-04,Hujan,2970.558566841259
245,Tomat,9421,2021-02-04,Hujan,10827.206904512208
246,Sawi Putih,1210,2021-02-05,Hujan,1347.176304913651
247,Cabe Chilli,66201,2021-02-05,Hujan,74645.2594495673
248,Cabe Kriting,65840,2021-02-05,Hujan,74232.41904313597
249,Cabe Rawit,63892,2021-02-05,Hujan,72965.23707189402
250,Kol,6268,2021-02-05,Hujan,7108.130708966122
251,Buncis,7723,2021-02-05,Hujan,8703.475082730587
252,Tomat,9427,2021-02-05,Hujan,10595.111351770764
253,Sawi Putih,4968,2021-02-06,Hujan,5503.04934668969
254,Cabe Chilli,74157,2021-02-06,Hujan,83906.38802138017
255,Cabe Kriting,69570,2021-02-06,Hujan,79865.31151013785
256,Cabe Rawit,63515,2021-02-06,Hujan,70812.89124775391
257,Kol,2522,2021-02-06,Hujan,2784.38520948106
258,Buncis,5577,2021-02-06,Hujan,6165.33781435137
259,Tomat,3131,2021-02-06,Hujan,3502.6493656876137
260,Sawi Putih,4395,2021-02-07,Hujan,4935.7724405794315
261,Cabe Chilli,72579,2021-02-07,Hujan,81268.12407778401
262,Cabe Kriting,31593,2021-02-07,Hujan,34755.6925442936
263,Cabe Rawit,39729,2021-02-07,Hujan,45238.41732984189
264,Kol,5536,2021-02-07,Hujan,6325.505550461983
265,Buncis,7129,2021-02-07,Hujan,7850.460216741639
266,Tomat,4392,2021-02-07,Hujan,4970.183250619127
267,Sawi Putih,1340,2021-02-08,Hujan,1537.4173174127284
268,Cabe Chilli,68060,2021-02-08,Hujan,77271.49355603535
269,Cabe Kriting,51910,2021-02-08,Hujan,58750.66988488778
270,Cabe Rawit,91716,2021-02-08,Hujan,105258.1257559277
271,Kol,2078,2021-02-08,Hujan,2351.785940720718
272,Buncis,7329,2021-02-08,Hujan,8312.91871213031
273,Tomat,6598,2021-02-08,Hujan,7494.456308150063
274,Sawi Putih,3542,2021-02-09,Hujan,3998.0412774830975
275,Cabe Chilli,39343,2021-02-09,Hujan,44745.85876198806
276,Cabe Kriting,56266,2021-02-09,Hujan,62264.349556113586
277,Cabe Rawit,94980,2021-02-09,Hujan,105514.89182760433
278,Kol,3083,2021-02-09,Hujan,3530.8873942582327
279,Buncis,7569,2021-02-09,Hujan,8661.448144265098
280,Tomat,4380,2021-02-09,Hujan,4926.427302511682
281,Sawi Putih,3308,2021-02-10,Hujan,3803.4840137783517
282,Cabe Chilli,50100,2021-02-10,Hujan,55842.81185591293
283,Cabe Kriting,59691,2021-02-10,Hujan,66152.25194926052
284,Cabe Rawit,70334,2021-02-10,Hujan,80282.3253487937
285,Kol,2274,2021-02-10,Hujan,2535.6084665124704
286,Buncis,7711,2021-02-10,Hujan,8838.417161424066
287,Tomat,4067,2021-02-10,Hujan,4619.871041751662
288,Sawi Putih,1877,2021-02-11,Hujan,2148.760922376499
289,Cabe Chilli,55104,2021-02-11,Hujan,61007.656547273975
290,Cabe Kriting,56919,2021-02-11,Hujan,62748.391603390475
291,Cabe Rawit,42864,2021-02-11,Hujan,48052.18457679388
292,Kol,6222,2021-02-11,Hujan,6847.845038635022
293,Buncis,2743,2021-02-11,Hujan,3090.4329788608115
294,Tomat,9096,2021-02-11,Hujan,10267.062502451476
295,Sawi Putih,2371,2021-02-12,Hujan,2684.4181160705384
296,Cabe Chilli,66647,2021-02-12,Hujan,74403.76587338859
297,Cabe Kriting,28983,2021-02-12,Hujan,32387.29130167115
298,Cabe Rawit,48889,2021-02-12,Hujan,53879.195532875114
299,Kol,3696,2021-02-12,Hujan,4157.325562188423
300,Buncis,7431,2021-02-12,Hujan,8391.208178756719
301,Tomat,6091,2021-02-12,Hujan,6744.008654617931
302,Sawi Putih,4688,2021-02-13,Hujan,5390.158335620759
303,Cabe Chilli,41917,2021-02-13,Hujan,46119.35166277232
304,Cabe Kriting,36300,2021-02-13,Hujan,41678.04322053619
305,Cabe Rawit,54521,2021-02-13,Hujan,62131.65740966203
306,Kol,6391,2021-02-13,Hujan,7107.856419144082
307,Buncis,6503,2021-02-13,Hujan,7432.764771569098
308,Tomat,1370,2021-02-13,Hujan,1525.1548032196765
309,Sawi Putih,1782,2021-02-14,Hujan,1992.498425468021
310,Cabe Chilli,60932,2021-02-14,Hujan,69310.89119439549
311,Cabe Kriting,58743,2021-02-14,Hujan,66758.04982628227
312,Cabe Rawit,86656,2021-02-14,Hujan,96020.40224776774
313,Kol,4198,2021-02-14,Hujan,4812.712784871378
314,Buncis,5101,2021-02-14,Hujan,5807.05046581871
315,Tomat,6637,2021-02-14,Hujan,7616.207153428079
316,Sawi Putih,4896,2021-02-15,Hujan,5531.123312920075
317,Cabe Chilli,49089,2021-02-15,Hujan,55455.47198548475
318,Cabe Kriting,77207,2021-02-15,Hujan,88118.15070229217
319,Cabe Rawit,28957,2021-02-15,Hujan,33103.95091043573
320,Kol,2908,2021-02-15,Hujan,3282.2198718042573
321,Buncis,7744,2021-02-15,Hujan,8577.933393266549
322,Tomat,6954,2021-02-15,Hujan,7826.350528797634
323,Sawi Putih,4889,2021-02-16,Hujan,5605.707352797189
324,Cabe Chilli,48322,2021-02-16,Hujan,55531.864318050044
325,Cabe Kriting,79575,2021-02-16,Hujan,90350.56568657792
326,Cabe Rawit,22704,2021-02-16,Hujan,25541.096350324024
327,Kol,6796,2021-02-16,Hujan,7697.996149453724
328,Buncis,7323,2021-02-16,Hujan,8183.212273883244
329,Tomat,6902,2021-02-16,Hujan,7901.840024766914
330,Sawi Putih,3001,2021-02-17,Hujan,3365.856685559855
331,Cabe Chilli,64361,2021-02-17,Hujan,71600.35910785067
332,Cabe Kriting,55219,2021-02-17,Hujan,62130.07604842378
333,Cabe Rawit,37339,2021-02-17,Hujan,41940.706382011005
334,Kol,4354,2021-02-17,Hujan,4807.604415514764
335,Buncis,7328,2021-02-17,Hujan,8401.396301575753
336,Tomat,4666,2021-02-17,Hujan,5363.444376649669
337,Sawi Putih,2541,2021-02-18,Hujan,2862.206931190858
338,Cabe Chilli,76954,2021-02-18,Hujan,85811.39226892218
339,Cabe Kriting,55102,2021-02-18,Hujan,60728.696354957465
340,Cabe Rawit,37217,2021-02-18,Hujan,41518.53945963914
341,Kol,4134,2021-02-18,Hujan,4721.669032227506
342,Buncis,6380,2021-02-18,Hujan,7025.233740052026
343,Tomat,4227,2021-02-18,Hujan,4697.662924589059
344,Sawi Putih,4863,2021-02-19,Hujan,5428.485791537857
345,Cabe Chilli,37011,2021-02-19,Hujan,42529.79468187809
346,Cabe Kriting,21054,2021-02-19,Hujan,24171.48802938683
347,Cabe Rawit,94024,2021-02-19,Hujan,104074.03627078715
348,Kol,5869,2021-02-19,Hujan,6518.243118302497
349,Buncis,4038,2021-02-19,Hujan,4514.69988528336
350,Tomat,3098,2021-02-19,Hujan,3450.206203088265
351,Sawi Putih,2770,2021-02-20,Hujan,3118.614218796985
352,Cabe Chilli,22949,2021-02-20,Hujan,26346.048656697207
353,Cabe Kriting,79995,2021-02-20,Hujan,91177.98858721077
354,Cabe Rawit,61489,2021-02-20,Hujan,68628.08775949867
355,Kol,3466,2021-02-20,Hujan,3837.0537368881737
356,Buncis,3460,2021-02-20,Hujan,3831.632806773234
357,Tomat,1204,2021-02-20,Hujan,1334.6839377989827
358,Sawi Putih,769,2021-02-21,Hujan,848.351079920699
359,Cabe Chilli,34362,2021-02-21,Hujan,38204.377584559916
360,Cabe Kriting,60641,2021-02-21,Hujan,68242.14843894754
361,Cabe Rawit,79692,2021-02-21,Hujan,88122.72376114917
362,Kol,5355,2021-02-21,Hujan,6138.023569862898
363,Buncis,3790,2021-02-21,Hujan,4232.984942663803
364,Tomat,5365,2021-02-21,Hujan,5903.332150267803
365,Sawi Putih,801,2021-02-22,Hujan,902.2968597702276
366,Cabe Chilli,54352,2021-02-22,Hujan,61711.692085289964
367,Cabe Kriting,51377,2021-02-22,Hujan,58142.64584612479
368,Cabe Rawit,82716,2021-02-22,Hujan,92209.96779272768
369,Kol,2507,2021-02-22,Hujan,2830.1777614170055
370,Buncis,3914,2021-02-22,Hujan,4376.203578752415
371,Tomat,8137,2021-02-22,Hujan,9083.215872574583
372,Sawi Putih,3815,2021-02-23,Hujan,4323.036935209673
373,Cabe Chilli,78604,2021-02-23,Hujan,89195.0888958206
374,Cabe Kriting,69724,2021-02-23,Hujan,77178.43822050649
375,Cabe Rawit,52266,2021-02-23,Hujan,59247.226347247364
376,Kol,7395,2021-02-23,Hujan,8227.07622095923
377,Buncis,2345,2021-02-23,Hujan,2632.559864225269
378,Tomat,5167,2021-02-23,Hujan,5731.796084068414
379,Sawi Putih,2965,2021-02-24,Hujan,3380.3212340305163
380,Cabe Chilli,69704,2021-02-24,Hujan,80015.94893187046
381,Cabe Kriting,42959,2021-02-24,Hujan,49281.44554051011
382,Cabe Rawit,57013,2021-02-24,Hujan,63576.886284240885
383,Kol,2108,2021-02-24,Hujan,2329.5857147163297
384,Buncis,6744,2021-02-24,Hujan,7618.798344587116
385,Tomat,7910,2021-02-24,Hujan,8851.956646246137
386,Sawi Putih,2127,2021-02-25,Hujan,2361.6006305138203
387,Cabe Chilli,53220,2021-02-25,Hujan,59075.67980529174
388,Cabe Kriting,40242,2021-02-25,Hujan,45132.567343847746
389,Cabe Rawit,72718,2021-02-25,Hujan,81365.54767982489
390,Kol,2050,2021-02-25,Hujan,2281.6517060520973
391,Buncis,2675,2021-02-25,Hujan,2982.5001795457074
392,Tomat,9473,2021-02-25,Hujan,10792.128251131218
393,Sawi Putih,1578,2021-02-26,Hujan,1749.9284035892097
394,Cabe Chilli,26113,2021-02-26,Hujan,29703.783688850814
395,Cabe Kriting,64906,2021-02-26,Hujan,73151.14533154495
396,Cabe Rawit,61673,2021-02-26,Hujan,69807.48839020082
397,Kol,3491,2021-02-26,Hujan,4012.508936186615
398,Buncis,6421,2021-02-26,Hujan,7288.529228874778
399,Tomat,8637,2021-02-26,Hujan,9876.91403932046
400,Sawi Putih,581,2021-02-27,Hujan,652.7850617754209
401,Cabe Chilli,58074,2021-02-27,Hujan,64961.10910367529
402,Cabe Kriting,49399,2021-02-27,Hujan,55534.710151018844
403,Cabe Rawit,30852,2021-02-27,Hujan,35331.05194584147
404,Kol,6415,2021-02-27,Hujan,7139.62652718212
405,Buncis,3494,2021-02-27,Hujan,3934.0421689605
406,Tomat,1324,2021-02-27,Hujan,1467.3025213831108
407,Sawi Putih,4932,2021-02-28,Hujan,5624.959853031052
408,Cabe Chilli,34199,2021-02-28,Hujan,38166.078135271
409,Cabe Kriting,21695,2021-02-28,Hujan,24653.878461578242
410,Cabe Rawit,76243,2021-02-28,Hujan,85020.61391550023
411,Kol,3219,2021-02-28,Hujan,3663.0090257601164
412,Buncis,5538,2021-02-28,Hujan,6144.369931749651
413,Tomat,4591,2021-02-28,Hujan,5109.848362362464
414,Sawi Putih,3087,2021-03-01,Hujan,3512.186403288158
415,Cabe Chilli,70420,2021-03-01,Hujan,79097.16920521556
416,Cabe Kriting,77195,2021-03-01,Hujan,85968.01444061234
417,Cabe Rawit,72577,2021-03-01,Hujan,81237.84996714293
418,Kol,6280,2021-03-01,Hujan,7197.957281252305
419,Buncis,2015,2021-03-01,Hujan,2314.8600320737332
420,Tomat,8883,2021-03-01,Hujan,9896.263035530446
421,Sawi Putih,1545,2021-03-02,Hujan,1705.705361609868
422,Cabe Chilli,55495,2021-03-02,Hujan,62123.41646980724
423,Cabe Kriting,78339,2021-03-02,Hujan,88429.90967048255
424,Cabe Rawit,95887,2021-03-02,Hujan,106506.7764215825
425,Kol,6234,2021-03-02,Hujan,7150.207609245099
426,Buncis,2345,2021-03-02,Hujan,2654.2919018113075
427,Tomat,8871,2021-03-02,Hujan,9888.201751697141
428,Sawi Putih,1937,2021-03-03,Hujan,2172.460328377128
429,Cabe Chilli,30159,2021-03-03,Hujan,33266.824655595905
430,Cabe Kriting,46815,2021-03-03,Hujan,51929.547026062275
431,Cabe Rawit,36794,2021-03-03,Hujan,42153.76941309002
432,Kol,2813,2021-03-03,Hujan,3140.171910460179
433,Buncis,7227,2021-03-03,Hujan,8223.967324082596
