ID,Jenis Sayuran,Tanggal Harga,Harga Pengepul per Kilogram,Harga Pasar per Kilogram
45,Cabe Kriting,2021-01-08,52917,57528.218805400684
46,Cabe Rawit,2021-01-08,51262,54485.98698604942
47,Kol,2021-01-08,4625,4995.183134366617
48,Buncis,2021-01-08,7692,8245.591111120915
49,Sawi Putih,2021-01-09,3471,3795.487862998949
50,Cabe Chilli,2021-01-09,71149,77806.93264049246
51,Cabe Kriting,2021-01-09,35212,38661.7672491511
52,Cabe Rawit,2021-01-09,27152,29263.627553083297
53,Kol,2021-01-09,3640,3901.9630093098012
54,Buncis,2021-01-09,5360,5738.517455729475
55,Sawi Putih,2021-01-10,4454,4865.367556143621
56,Cabe Chilli,2021-01-10,25801,28054.426796642903
57,Cabe Kriting,2021-01-10,55009,59266.22103890122
58,Cabe Rawit,2021-01-10,36927,39504.69569530434
59,Kol,2021-01-10,3550,3762.8390972310362
60,Buncis,2021-01-10,5004,5326.105837696903
61,Sawi Putih,2021-01-11,3406,3734.1858898696246
62,Cabe Chilli,2021-01-11,51317,54578.77629511
63,Cabe Kriting,2021-01-11,69948,75102.36880529829
64,Cabe Rawit,2021-01-11,30236,31815.58301003348
65,Kol,2021-01-11,3567,3905.022825326011
66,Buncis,2021-01-11,6663,7314.370319285635
67,Sawi Putih,2021-01-12,921,989.8568704991394
68,Cabe Chilli,2021-01-12,24722,26857.44709751873
69,Cabe Kriting,2021-01-12,69109,73115.7244055282
70,Cabe Rawit,2021-01-12,20665,22093.421314304895
71,Kol,2021-01-12,7230,7827.786244581165
72,Buncis,2021-01-12,6721,7092.533867367369
73,Sawi Putih,2021-01-13,3448,3659.5580599004634
74,Cabe Chilli,2021-01-13,50884,55335.00219330056
75,Cabe Kriting,2021-01-13,47807,52215.66411536221
76,Cabe Rawit,2021-01-13,61496,65726.42986690125
77,Kol,2021-01-13,2386,2557.187299482066
78,Buncis,2021-01-13,2675,2830.625446528166
79,Sawi Putih,2021-01-14,683,747.8244283398311
80,Cabe Chilli,2021-01-14,65297,70129.96187843666
81,Cabe Kriting,2021-01-14,63656,68396.35753323544
82,Cabe Rawit,2021-01-14,66764,70806.23853695134
83,Kol,2021-01-14,7005,7629.619422700381
84,Buncis,2021-01-14,2993,3158.567072220081
85,Sawi Putih,2021-01-15,3432,3661.4293088933923
86,Cabe Chilli,2021-01-15,64583,68557.55480145192
87,Cabe Kriting,2021-01-15,35797,37994.505979198446
88,Cabe Rawit,2021-01-15,60066,65520.91454483264
89,Kol,2021-01-15,7182,7833.916950712881
90,Buncis,2021-01-15,2559,2762.461871521559
91,Sawi Putih,2021-01-16,1126,1229.165322022852
92,Cabe Chilli,2021-01-16,53348,57624.722924681504
93,Cabe Kriting,2021-01-16,20382,21850.63751862403
94,Cabe Rawit,2021-01-16,21803,23365.17454938321
95,Kol,2021-01-16,7808,8320.975742117398
96,Buncis,2021-01-16,6049,6407.719448318935
97,Sawi Putih,2021-01-17,503,539.748208104236
98,Cabe Chilli,2021-01-17,77412,81528.07399159981
99,Cabe Kriting,2021-01-17,69104,74087.63459373104
100,Cabe Rawit,2021-01-17,44588,48232.363919557305
101,Kol,2021-01-17,2582,2777.4754777504945
102,Buncis,2021-01-17,3061,3264.7517611281396
103,Sawi Putih,2021-01-18,3231,3502.3301282525717
104,Cabe Chilli,2021-01-18,68733,74741.41247247107
105,Cabe Kriting,2021-01-18,45301,47796.84406307204
106,Cabe Rawit,2021-01-18,63848,69498.63878950934
107,Kol,2021-01-18,7536,8260.777299343974
108,Buncis,2021-01-18,3048,3265.0432864318727
109,Sawi Putih,2021-01-19,1237,1344.9257730213756
110,Cabe Chilli,2021-01-19,55486,59582.75597072276
111,Cabe Kriting,2021-01-19,22038,23969.87312078977
112,Cabe Rawit,2021-01-19,74306,80659.80593556006
113,Kol,2021-01-19,4921,5280.495040546271
114,Buncis,2021-01-19,3433,3713.445103559521
115,Sawi Putih,2021-01-20,1515,1649.079976829443
116,Cabe Chilli,2021-01-20,68964,74817.34411141455
117,Cabe Kriting,2021-01-20,27237,29815.53085101016
118,Cabe Rawit,2021-01-20,26364,28794.119466058026
119,Kol,2021-01-20,3008,3259.0164394013577
120,Buncis,2021-01-20,7472,8092.855837402011
121,Sawi Putih,2021-01-21,2786,2958.9917247773787
122,Cabe Chilli,2021-01-21,48312,51308.47785864046
123,Cabe Kriting,2021-01-21,33318,35430.19461477813
124,Cabe Rawit,2021-01-21,35837,38697.40597736789
125,Kol,2021-01-21,6084,6594.635469716007
126,Buncis,2021-01-21,4220,4537.906286088442
127,Sawi Putih,2021-01-22,1895,2059.4459534739926
128,Cabe Chilli,2021-01-22,58635,63804.48989051173
129,Cabe Kriting,2021-01-22,38373,40538.54581054601
130,Cabe Rawit,2021-01-22,65217,70974.01724887898
131,Kol,2021-01-22,2009,2163.8156448388427
132,Buncis,2021-01-22,3957,4337.829600085331
133,Sawi Putih,2021-01-23,4764,5125.109984584538
134,Cabe Chilli,2021-01-23,23322,24699.12653104333
135,Cabe Kriting,2021-01-23,73367,78953.1260328724
136,Cabe Rawit,2021-01-23,72132,76478.18176860368
137,Kol,2021-01-23,2501,2682.1615093738837
138,Buncis,2021-01-23,3474,3803.456111427768
139,Sawi Putih,2021-01-24,2012,2127.38950981567
140,Cabe Chilli,2021-01-24,46758,49919.616526089565
141,Cabe Kriting,2021-01-24,36571,39608.127682738224
142,Cabe Rawit,2021-01-24,77965,83068.07378309719
143,Kol,2021-01-24,7742,8465.037085920363
144,Buncis,2021-01-24,4148,4401.692660704196
145,Sawi Putih,2021-01-25,2158,2290.663458185606
146,Cabe Chilli,2021-01-25,41847,45055.24292231637
147,Cabe Kriting,2021-01-25,62905,66245.24386699281
148,Cabe Rawit,2021-01-25,77714,83015.16224574253
149,Kol,2021-01-25,2534,2669.786175413449
150,Buncis,2021-01-25,5805,6162.315954089616
151,Sawi Putih,2021-01-26,1645,1739.9737032633275
152,Cabe Chilli,2021-01-26,67395,74076.64586272457
153,Cabe Kriting,2021-01-26,57731,62171.03907198244
154,Cabe Rawit,2021-01-26,24134,25650.387932590227
155,Kol,2021-01-26,2425,2606.1035285819953
156,Buncis,2021-01-26,3475,3721.8238502730105
157,Sawi Putih,2021-01-27,3993,4352.865561405749
158,Cabe Chilli,2021-01-27,41395,43920.42541256712
159,Cabe Kriting,2021-01-27,56469,60124.60773310775
160,Cabe Rawit,2021-01-27,33032,36148.33079156853
161,Kol,2021-01-27,6069,6568.777885923759
162,Buncis,2021-01-27,3151,3431.301062313385
163,Sawi Putih,2021-01-28,3842,4166.3591601136795
164,Cabe Chilli,2021-01-28,42578,45043.547556212674
165,Cabe Kriting,2021-01-28,21831,23886.439974488494
166,Cabe Rawit,2021-01-28,75592,81786.96259675427
167,Kol,2021-01-28,4309,4738.743993694348
168,Buncis,2021-01-28,6741,7361.589155600926
169,Sawi Putih,2021-01-29,3060,3271.435383230901
170,Cabe Chilli,2021-01-29,24535,26651.73844228017
171,Cabe Kriting,2021-01-29,30472,32229.99630070098
172,Cabe Rawit,2021-01-29,22385,24347.168834950975
173,Kol,2021-01-29,6512,7010.346045271166
174,Buncis,2021-01-29,3684,4050.876444069555
175,Sawi Putih,2021-01-30,682,721.7183340728119
176,Cabe Chilli,2021-01-30,78271,83807.85429933663
177,Cabe Kriting,2021-01-30,73136,77755.43604127449
178,Cabe Rawit,2021-01-30,71003,76223.40702259119
179,Kol,2021-01-30,5954,6509.039936881392
180,Buncis,2021-01-30,4765,5115.405894147097
181,Sawi Putih,2021-01-31,2900,3179.3094261311476
182,Cabe Chilli,2021-01-31,73078,77373.14828512838
183,Cabe Kriting,2021-01-31,57384,62019.66802195741
184,Cabe Rawit,2021-01-31,38240,41877.58585172193
185,Kol,2021-01-31,5579,6001.163561631365
186,Buncis,2021-01-31,4348,4627.095858166416
187,Sawi Putih,2021-02-01,4359,4603.443258311012
188,Cabe Chilli,2021-02-01,32346,35051.07273578542
189,Cabe Kriting,2021-02-01,50155,54775.29926763536
190,Cabe Rawit,2021-02-01,68760,72202.0860710001
191,Kol,2021-02-01,3910,4201.300522234271
192,Buncis,2021-02-01,7663,8291.747593024962
193,Sawi Putih,2021-02-02,3353,3649.7240815240534
194,Cabe Chilli,2021-02-02,27214,28852.946760021397
195,Cabe Kriting,2021-02-02,55085,59702.47822167813
196,Cabe Rawit,2021-02-02,20556,22257.495197502543
197,Kol,2021-02-02,3947,4334.847801648962
198,Buncis,2021-02-02,6443,7062.5425239547985
199,Sawi Putih,2021-02-03,1275,1341.1913308780431
200,Cabe Chilli,2021-02-03,28277,30949.403878155048
201,Cabe Kriting,2021-02-03,69546,75434.80033904796
202,Cabe Rawit,2021-02-03,64475,69350.1859004386
203,Kol,2021-02-03,3019,3205.172363805913
204,Buncis,2021-02-03,6151,6693.921266680765
205,Sawi Putih,2021-02-04,2749,3021.510658238203
206,Cabe Chilli,2021-02-04,45720,48071.95354550957
207,Cabe Kriting,2021-02-04,65162,68615.910651736
208,Cabe Rawit,2021-02-04,44515,47494.703581914255
209,Kol,2021-02-04,2433,2569.437956754989
210,Buncis,2021-02-04,7393,7922.912423385485
211,Sawi Putih,2021-02-05,3048,3260.8749166074936
212,Cabe Chilli,2021-02-05,77924,85449.01570457926
213,Cabe Kriting,2021-02-05,57577,62261.32730232707
214,Cabe Rawit,2021-02-05,24237,26295.77754889397
215,Kol,2021-02-05,7570,7958.568348006208
216,Buncis,2021-02-05,2336,2508.495848112891
217,Sawi Putih,2021-02-06,3872,4103.92588502053
218,Cabe Chilli,2021-02-06,45438,49416.8695296968
219,Cabe Kriting,2021-02-06,61031,64305.03976192805
220,Cabe Rawit,2021-02-06,31220,33451.46076359039
221,Kol,2021-02-06,2008,2129.4738557501287
222,Buncis,2021-02-06,7961,8616.637672270117
223,Sawi Putih,2021-02-07,2228,2340.070711338368
224,Cabe Chilli,2021-02-07,41588,44719.2234894747
225,Cabe Kriting,2021-02-07,35186,38509.69782942783
226,Cabe Rawit,2021-02-07,78939,85740.96669959286
227,Kol,2021-02-07,7820,8214.302525608346
228,Buncis,2021-02-07,4089,4494.224408753217
229,Sawi Putih,2021-02-08,2266,2453.0845221834256
230,Cabe Chilli,2021-02-08,78087,83769.90509343566
231,Cabe Kriting,2021-02-08,69107,73846.04910172812
232,Cabe Rawit,2021-02-08,34868,37935.88869681297
233,Kol,2021-02-08,3592,3788.412881183845
234,Buncis,2021-02-08,3259,3551.530481947222
235,Sawi Putih,2021-02-09,4156,4555.627594068981
236,Cabe Chilli,2021-02-09,58141,63344.9229903793
237,Cabe Kriting,2021-02-09,51365,55532.41723717637
238,Cabe Rawit,2021-02-09,68350,74634.50756724337
239,Kol,2021-02-09,7822,8366.717590976623
240,Buncis,2021-02-09,5830,6165.8035506732285
241,Sawi Putih,2021-02-10,563,599.5092665478143
242,Cabe Chilli,2021-02-10,46821,49521.56268137291
243,Cabe Kriting,2021-02-10,31632,34682.90071119457
244,Cabe Rawit,2021-02-10,31825,34723.904849739265
245,Kol,2021-02-10,7604,8075.116244372555
246,Buncis,2021-02-10,7492,7902.471860098245
247,Sawi Putih,2021-02-11,4608,5063.900447736472
248,Cabe Chilli,2021-02-11,53984,57627.45979448487
249,Cabe Kriting,2021-02-11,28232,30706.96947617627
250,Cabe Rawit,2021-02-11,56110,59451.34008783786
251,Kol,2021-02-11,7988,8560.640338650548
252,Buncis,2021-02-11,3465,3677.9794829144666
253,Sawi Putih,2021-02-12,4841,5295.304669236707
254,Cabe Chilli,2021-02-12,37322,40259.02038745663
255,Cabe Kriting,2021-02-12,42660,45160.62328738263
256,Cabe Rawit,2021-02-12,22185,23919.496024358436
257,Kol,2021-02-12,2167,2290.495110795646
258,Buncis,2021-02-12,7729,8423.045870088396
259,Sawi Putih,2021-02-13,1730,1823.157737600841
260,Cabe Chilli,2021-02-13,68985,73985.90734387288
261,Cabe Kriting,2021-02-13,44092,46526.45776851376
262,Cabe Rawit,2021-02-13,35975,38198.38330120316
263,Kol,2021-02-13,3673,3992.6520312727375
264,Buncis,2021-02-13,4885,5191.448028021624
265,Sawi Putih,2021-02-14,4731,5038.5620245390455
266,Cabe Chilli,2021-02-14,25822,27653.637984109075
267,Cabe Kriting,2021-02-14,72296,77465.7248833879
268,Cabe Rawit,2021-02-14,29323,32060.293569010442
269,Kol,2021-02-14,4714,5137.489338378529
270,Buncis,2021-02-14,4380,4644.062478666649
271,Sawi Putih,2021-02-15,3947,4257.609699859309
272,Cabe Chilli,2021-02-15,76472,81562.60850607627
273,Cabe Kriting,2021-02-15,53244,56115.140108786334
274,Cabe Rawit,2021-02-15,62718,67726.27993396066
275,Kol,2021-02-15,5201,5613.095586531467
276,Buncis,2021-02-15,6873,7387.861564961329
277,Sawi Putih,2021-02-16,1650,1802.622958706947
278,Cabe Chilli,2021-02-16,22182,24162.371429621366
279,Cabe Kriting,2021-02-16,49561,53571.90943079684
280,Cabe Rawit,2021-02-16,59841,64760.43696761254
281,Kol,2021-02-16,5572,5860.837522623232
282,Buncis,2021-02-16,2475,2720.6787624248823
283,Sawi Putih,2021-02-17,1705,1868.4811133898197
284,Cabe Chilli,2021-02-17,61850,65740.91892498244
285,Cabe Kriting,2021-02-17,27784,29890.386471289727
286,Cabe Rawit,2021-02-17,45793,48288.01958555777
287,Kol,2021-02-17,3021,3207.529158426507
288,Buncis,2021-02-17,3477,3811.1939007008264
289,Sawi Putih,2021-02-18,2472,2668.892936395615
290,Cabe Chilli,2021-02-18,46362,50980.20608315536
291,Cabe Kriting,2021-02-18,41354,43941.16163550347
292,Cabe Rawit,2021-02-18,28390,31213.5405700745
293,Kol,2021-02-18,2496,2624.9785222684686
294,Buncis,2021-02-18,3081,3370.1324592427077
295,Sawi Putih,2021-02-19,3210,3466.856646703302
296,Cabe Chilli,2021-02-19,60850,64389.3723906543
297,Cabe Kriting,2021-02-19,66584,73118.09776955507
298,Cabe Rawit,2021-02-19,47653,51246.40107709151
299,Kol,2021-02-19,5937,6325.175880918341
300,Buncis,2021-02-19,2923,3088.0048969141935
301,Sawi Putih,2021-02-20,3251,3537.781265490027
302,Cabe Chilli,2021-02-20,40112,44111.547486796575
303,Cabe Kriting,2021-02-20,22571,24685.377195566864
304,Cabe Rawit,2021-02-20,71891,78030.0567947042
305,Kol,2021-02-20,7756,8388.249236456346
306,Buncis,2021-02-20,7036,7491.958573410025
307,Sawi Putih,2021-02-21,1867,2004.501294299901
308,Cabe Chilli,2021-02-21,64264,69439.99467290382
309,Cabe Kriting,2021-02-21,78161,85504.22247818498
310,Cabe Rawit,2021-02-21,63947,68770.7358352693
311,Kol,2021-02-21,5875,6274.408502126597
312,Buncis,2021-02-21,6342,6874.221583698999
313,Sawi Putih,2021-02-22,4348,4658.248837225883
314,Cabe Chilli,2021-02-22,72329,77768.05774433636
315,Cabe Kriting,2021-02-22,50493,54070.66628990298
316,Cabe Rawit,2021-02-22,70524,75486.38814901792
317,Kol,2021-02-22,4388,4682.285046350306
318,Buncis,2021-02-22,3671,4027.4877159416405
319,Sawi Putih,2021-02-23,767,816.8281233504847
320,Cabe Chilli,2021-02-23,42481,44752.80620239866
321,Cabe Kriting,2021-02-23,41046,44132.32723947479
322,Cabe Rawit,2021-02-23,27150,29829.51471840989
323,Kol,2021-02-23,3412,3586.0830586366037
324,Buncis,2021-02-23,7407,8110.480781786728
325,Sawi Putih,2021-02-24,2743,2904.723038249529
326,Cabe Chilli,2021-02-24,51006,54240.29443932256
327,Cabe Kriting,2021-02-24,36013,39453.583867515685
328,Cabe Rawit,2021-02-24,52605,57222.27145657229
329,Kol,2021-02-24,2109,2254.5832589294855
330,Buncis,2021-02-24,5826,6320.057870714545
331,Sawi Putih,2021-02-25,1265,1329.3947700023432
332,Cabe Chilli,2021-02-25,39514,42135.02490358739
333,Cabe Kriting,2021-02-25,31796,34592.096615620765
334,Cabe Rawit,2021-02-25,26487,28209.896392136736
335,Kol,2021-02-25,7509,8038.217683045959
336,Buncis,2021-02-25,7350,8029.368732006018
337,Sawi Putih,2021-02-26,4563,4838.14289556675
338,Cabe Chilli,2021-02-26,59690,63924.86190277731
339,Cabe Kriting,2021-02-26,52864,56945.27292931863
340,Cabe Rawit,2021-02-26,45778,48467.486210794734
341,Kol,2021-02-26,3900,4227.901457814597
342,Buncis,2021-02-26,3448,3632.4987637434433
343,Sawi Putih,2021-02-27,1271,1388.8428817727347
344,Cabe Chilli,2021-02-27,28346,29848.349160917744
345,Cabe Kriting,2021-02-27,66071,71490.00168024123
346,Cabe Rawit,2021-02-27,57506,61816.164486181115
347,Kol,2021-02-27,7230,7623.265458376495
348,Buncis,2021-02-27,6934,7547.150614123479
349,Sawi Putih,2021-02-28,3892,4248.859618003179
350,Cabe Chilli,2021-02-28,79747,85525.64661339924
351,Cabe Kriting,2021-02-28,68654,74641.30870973937
352,Cabe Rawit,2021-02-28,40303,42447.56034563354
353,Kol,2021-02-28,2389,2601.7233021490033
354,Buncis,2021-02-28,4519,4770.770274629949
355,Sawi Putih,2021-03-01,2409,2608.702159276143
356,Cabe Chilli,2021-03-01,24712,26967.801747961774
357,Cabe Kriting,2021-03-01,23459,24676.898610752778
358,Cabe Rawit,2021-03-01,74684,81312.85382805669
359,Kol,2021-03-01,6055,6440.5745987492855
360,Buncis,2021-03-01,5693,6140.296465731589
361,Sawi Putih,2021-03-02,3718,4024.229477972861
362,Cabe Chilli,2021-03-02,39956,42688.451398309946
363,Cabe Kriting,2021-03-02,56047,60510.781073789956
364,Cabe Rawit,2021-03-02,57115,62715.27281918475
365,Kol,2021-03-02,5542,5881.2504898404895
366,Buncis,2021-03-02,6036,6530.19165660527
367,Sawi Putih,2021-03-03,620,675.6672032558847
368,Cabe Chilli,2021-03-03,57951,61427.387159808015
369,Cabe Kriting,2021-03-03,75126,80156.7800930235
370,Cabe Rawit,2021-03-03,57901,62675.50186168284
371,Kol,2021-03-03,5846,6428.394397284134
372,Buncis,2021-03-03,6467,6849.709708222288
373,Sawi Putih,2021-03-04,4504,4924.249941182671
374,Cabe Chilli,2021-03-04,56794,59957.56475797326
375,Cabe Kriting,2021-03-04,62720,65943.38584890918
376,Cabe Rawit,2021-03-04,66752,70490.67703927681
377,Kol,2021-03-04,7622,8362.011072509698
378,Buncis,2021-03-04,3809,4103.111905505019
379,Sawi Putih,2021-03-05,4329,4759.496463144208
380,Cabe Chilli,2021-03-05,59573,64186.23583911486
381,Cabe Kriting,2021-03-05,67768,71416.38345048194
382,Cabe Rawit,2021-03-05,71217,75116.45026774525
383,Kol,2021-03-05,4018,4312.656101232868
384,Buncis,2021-03-05,3341,3660.7377410484196
385,Sawi Putih,2021-03-06,2242,2435.510337783522
386,Cabe Chilli,2021-03-06,36634,39734.90937006595
387,Cabe Kriting,2021-03-06,53756,57602.31038481298
388,Cabe Rawit,2021-03-06,70761,75844.42092281954
389,Kol,2021-03-06,3738,4070.237346311359
390,Buncis,2021-03-06,6357,6774.837722899402
391,Sawi Putih,2021-03-07,4770,5236.0223593588935
392,Cabe Chilli,2021-03-07,71594,77232.0733709998
393,Cabe Kriting,2021-03-07,59301,63278.84161710041
394,Cabe Rawit,2021-03-07,40452,43050.349402853295
395,Kol,2021-03-07,6894,7507.172196573661
396,Buncis,2021-03-07,6412,6928.630019441402
397,Sawi Putih,2021-03-08,4412,4695.138699064438
398,Cabe Chilli,2021-03-08,21682,22937.22818186796
399,Cabe Kriting,2021-03-08,50386,55358.29747012168
400,Cabe Rawit,2021-03-08,58832,62136.26120410078
401,Kol,2021-03-08,4004,4377.386664385677
402,Buncis,2021-03-08,3652,3877.3229741530786
403,Sawi Putih,2021-03-09,1121,1206.318486206558
404,Cabe Chilli,2021-03-09,48557,51120.58560722992
405,Cabe Kriting,2021-03-09,39459,42914.79229989418
406,Cabe Rawit,2021-03-09,23259,24426.48247139319
407,Kol,2021-03-09,2444,2625.5361555141553
408,Buncis,2021-03-09,4229,4483.223046444784
409,Sawi Putih,2021-03-10,3659,3941.9802592919123
410,Cabe Chilli,2021-03-10,75849,80606.3798468218
411,Cabe Kriting,2021-03-10,76913,81569.98563765896
412,Cabe Rawit,2021-03-10,64515,69635.05710506927
413,Kol,2021-03-10,3085,3374.0132656833057
414,Buncis,2021-03-10,6388,6960.306911516864
415,Sawi Putih,2021-03-11,3083,3269.282652300889
416,Cabe Chilli,2021-03-11,34939,38280.04381528445
417,Cabe Kriting,2021-03-11,63782,69191.265909803
418,Cabe Rawit,2021-03-11,45406,49772.07435366295
419,Kol,2021-03-11,4215,4622.555648228167
420,Buncis,2021-03-11,6003,6582.249538302465
421,Sawi Putih,2021-03-12,4903,5191.217013648505
422,Cabe Chilli,2021-03-12,26700,28546.51870591078
423,Cabe Kriting,2021-03-12,47927,50604.52415760644
424,Cabe Rawit,2021-03-12,72369,78308.8977558305
425,Kol,2021-03-12,5771,6328.630065625617
426,Buncis,2021-03-12,7448,8026.4461106553745
427,Sawi Putih,2021-03-13,2510,2652.8286439732633
428,Cabe Chilli,2021-03-13,41780,45615.905229025986
429,Cabe Kriting,2021-03-13,41642,45187.55103048608
430,Cabe Rawit,2021-03-13,39750,41851.69294927957
431,Kol,2021-03-13,5584,5940.890461069638
432,Buncis,2021-03-13,6010,6455.02946265755
433,Sawi Putih,2021-03-14,3188,3378.2403731458676
434,Cabe Chilli,2021-03-14,23798,25921.609580132914
435,Cabe Kriting,2021-03-14,61180,66013.57521158933
436,Cabe Rawit,2021-03-14,65294,70487.37294437185
437,Kol,2021-03-14,2421,2567.9420596361083
438,Buncis,2021-03-14,7570,8147.500470648593
439,Sawi Putih,2021-03-15,926,989.8354204133743
440,Cabe Chilli,2021-03-15,52204,57185.35257220929
441,Cabe Kriting,2021-03-15,52148,56179.39140240709
442,Cabe Rawit,2021-03-15,49590,53441.94782243296
443,Kol,2021-03-15,6006,6555.136948882709
444,Buncis,2021-03-15,5709,6245.416171032092
445,Sawi Putih,2021-03-16,1355,1428.3327724619467
446,Cabe Chilli,2021-03-16,78824,83330.95972675437
447,Cabe Kriting,2021-03-16,29611,32204.1851223889
448,Cabe Rawit,2021-03-16,58675,62833.4928702184
449,Kol,2021-03-16,7895,8338.726723697044
450,Buncis,2021-03-16,6832,7184.365393486374
451,Sawi Putih,2021-03-17,3401,3611.469046250593
452,Cabe Chilli,2021-03-17,41594,45654.860729045315
453,Cabe Kriting,2021-03-17,74528,80569.9115638165
454,Cabe Rawit,2021-03-17,79278,85888.54579602143
455,Kol,2021-03-17,5489,5773.671267940708
456,Buncis,2021-03-17,7033,7712.837936016514
457,Sawi Putih,2021-03-18,1342,1420.2608035181763
458,Cabe Chilli,2021-03-18,74222,79177.1476346977
459,Cabe Kriting,2021-03-18,61877,66751.7542036698
460,Cabe Rawit,2021-03-18,52306,57110.356819155124
461,Kol,2021-03-18,4042,4431.258828544569
462,Buncis,2021-03-18,6187,6610.032930075901
463,Sawi Putih,2021-03-19,4672,5080.335766891611
464,Cabe Chilli,2021-03-19,33628,36391.960801565154
465,Cabe Kriting,2021-03-19,42565,44731.10956361238
466,Cabe Rawit,2021-03-19,45718,49841.90098743524
467,Kol,2021-03-19,6839,7304.371527545048
468,Buncis,2021-03-19,7217,7777.210969519307
469,Sawi Putih,2021-03-20,1627,1718.6537618001516
470,Cabe Chilli,2021-03-20,53002,55723.04764943815
471,Cabe Kriting,2021-03-20,55722,60793.52223834532
472,Cabe Rawit,2021-03-20,44060,48337.288237237044
473,Kol,2021-03-20,3598,3892.002125611088
474,Buncis,2021-03-20,6680,7135.238158001375
475,Sawi Putih,2021-03-21,1812,1917.8816355872323
476,Cabe Chilli,2021-03-21,61359,67144.75160135014
477,Cabe Kriting,2021-03-21,68786,74904.50211931308
478,Cabe Rawit,2021-03-21,55324,59215.42806344528
479,Kol,2021-03-21,7294,7852.422190636133
480,Buncis,2021-03-21,5404,5707.093802470794
481,Sawi Putih,2021-03-22,1605,1697.9127755227753
482,Cabe Chilli,2021-03-22,68739,75316.26155825882
483,Cabe Kriting,2021-03-22,74305,80522.21761176467
484,Cabe Rawit,2021-03-22,56550,60016.307032027464
485,Kol,2021-03-22,2677,2873.9062734256304
486,Buncis,2021-03-22,4554,4805.52924778474
487,Sawi Putih,2021-03-23,795,846.076449703249
488,Cabe Chilli,2021-03-23,28151,30294.822842815647
489,Cabe Kriting,2021-03-23,67315,71611.35657671231
490,Cabe Rawit,2021-03-23,21913,23070.84726582179
491,Kol,2021-03-23,4784,5051.061524037327
492,Buncis,2021-03-23,6613,7057.088103293657
493,Sawi Putih,2021-03-24,3275,3470.297152205614
494,Cabe Chilli,2021-03-24,63729,67016.61157493194
495,Cabe Kriting,2021-03-24,72758,79531.76039134902
496,Cabe Rawit,2021-03-24,79227,85691.923942109
497,Kol,2021-03-24,5721,6115.760051223964
498,Buncis,2021-03-24,5833,6202.355485747719
499,Sawi Putih,2021-03-25,2344,2509.1767172023306
500,Cabe Chilli,2021-03-25,33973,36623.921505617494
501,Cabe Kriting,2021-03-25,78624,84268.35661840407
502,Cabe Rawit,2021-03-25,21424,23041.67266452803
503,Kol,2021-03-25,5922,6503.863163428505
504,Buncis,2021-03-25,7546,7987.416792916394
505,Sawi Putih,2021-03-26,3353,3525.516058008475
506,Cabe Chilli,2021-03-26,31876,34871.2484285402
