ID,Jenis Sayuran,Tanggal Harga,Season,Harga Beli Pengepul per Kilogram,Harga Beli Pasar per Kilogram
83,Kol,1/14/2021,Hujan,5900.903741,6542.495668
84,Buncis,1/14/2021,Hujan,2577.93446,2882.359913
85,Sawi Putih,1/15/2021,Hujan,2919.683031,3368.172899
86,Cabe Chilli,1/15/2021,Hujan,22392.88248,23590.89176
87,Cabe Kriting,1/15/2021,Hujan,33680.00961,39572.48529
88,Cabe Rawit,1/15/2021,Hujan,45534.41803,50074.27057
89,Kol,1/15/2021,Hujan,6803.222503,7220.439373
90,Buncis,1/15/2021,Hujan,2020.498245,2223.15776
91,Sawi Putih,1/16/2021,Hujan,910.6919255,1048.989879
92,Cabe Chilli,1/16/2021,Hujan,25542.85194,28166.00275
93,Cabe Kriting,1/16/2021,Hujan,33469.36553,36910.84182
94,Cabe Rawit,1/16/2021,Hujan,47184.10551,54363.69638
95,Kol,1/16/2021,Hujan,6324.402675,7103.352343
96,Buncis,1/16/2021,Hujan,5029.272489,5624.957621
97,Sawi Putih,1/17/2021,Hujan,418.7098872,442.6614674
98,Cabe Chilli,1/17/2021,Hujan,19542.65445,21198.58901
99,Cabe Kriting,1/17/2021,Hujan,31640.14677,36983.26997
100,Cabe Rawit,1/17/2021,Hujan,39900.46961,42389.20401
101,Kol,1/17/2021,Hujan,2203.2114,2464.50236
102,Buncis,1/17/2021,Hujan,2588.656767,2810.975638
103,Sawi Putih,1/18/2021,Hujan,2749.320819,2942.797583
104,Cabe Chilli,1/18/2021,Hujan,23274.82489,26350.91201
105,Cabe Kriting,1/18/2021,Hujan,36091.95015,39056.82447
106,Cabe Rawit,1/18/2021,Hujan,44588.3085,50546.71104
107,Kol,1/18/2021,Hujan,6180.368949,7089.858277
108,Buncis,1/18/2021,Hujan,2411.149561,2627.775875
109,Sawi Putih,1/19/2021,Hujan,1035.029375,1159.61928
110,Cabe Chilli,1/19/2021,Hujan,27692.08149,29896.68786
111,Cabe Kriting,1/19/2021,Hujan,28857.32423,31148.52276
112,Cabe Rawit,1/19/2021,Hujan,40724.25436,44796.99079
113,Kol,1/19/2021,Hujan,4031.333988,4650.791439
114,Buncis,1/19/2021,Hujan,3093.386549,3386.818649
115,Sawi Putih,1/20/2021,Hujan,1230.307417,1407.73439
116,Cabe Chilli,1/20/2021,Hujan,24541.58227,27273.22298
117,Cabe Kriting,1/20/2021,Hujan,28988.25689,33652.29932
118,Cabe Rawit,1/20/2021,Hujan,44473.92511,50436.45895
119,Kol,1/20/2021,Hujan,2538.977106,2735.406097
120,Buncis,1/20/2021,Hujan,5947.956692,6711.940843
121,Sawi Putih,1/21/2021,Hujan,2525.943717,2724.206418
122,Cabe Chilli,1/21/2021,Hujan,23703.46171,27550.64138
123,Cabe Kriting,1/21/2021,Hujan,29963.18217,31895.61902
124,Cabe Rawit,1/21/2021,Hujan,39815.9833,45853.69411
125,Kol,1/21/2021,Hujan,5171.866915,5448.721308
126,Buncis,1/21/2021,Hujan,3685.34555,4107.076986
127,Sawi Putih,1/22/2021,Hujan,1448.615774,1690.683814
128,Cabe Chilli,1/22/2021,Hujan,24748.83587,27519.9833
129,Cabe Kriting,1/22/2021,Hujan,28868.44444,33935.56354
130,Cabe Rawit,1/22/2021,Hujan,37708.67272,44006.87438
131,Kol,1/22/2021,Hujan,1793.524622,1938.840221
132,Buncis,1/22/2021,Hujan,3322.885855,3710.528164
133,Sawi Putih,1/23/2021,Hujan,4131.273445,4608.0175
134,Cabe Chilli,1/23/2021,Hujan,26357.83313,29106.5322
135,Cabe Kriting,1/23/2021,Hujan,33088.78471,35868.45083
136,Cabe Rawit,1/23/2021,Hujan,47156.30054,52218.14466
137,Kol,1/23/2021,Hujan,2126.144714,2325.429056
138,Buncis,1/23/2021,Hujan,3131.763457,3336.303823
139,Sawi Putih,1/24/2021,Hujan,1608.655229,1792.566075
140,Cabe Chilli,1/24/2021,Hujan,21992.22672,23385.70004
141,Cabe Kriting,1/24/2021,Hujan,31708.21367,35532.15572
142,Cabe Rawit,1/24/2021,Hujan,41033.06781,45338.58791
143,Kol,1/24/2021,Hujan,6217.366714,6997.383105
144,Buncis,1/24/2021,Hujan,3337.245552,3645.466112
145,Sawi Putih,1/25/2021,Hujan,1915.235567,2058.676188
146,Cabe Chilli,1/25/2021,Hujan,22486.11065,24759.02595
147,Cabe Kriting,1/25/2021,Hujan,29768.55475,32157.92918
148,Cabe Rawit,1/25/2021,Hujan,50095.06965,53586.7328
149,Kol,1/25/2021,Hujan,2127.0707,2442.764165
150,Buncis,1/25/2021,Hujan,4565.571082,5041.386347
151,Sawi Putih,1/26/2021,Hujan,1329.550427,1548.344352
152,Cabe Chilli,1/26/2021,Hujan,23619.19429,26723.09878
153,Cabe Kriting,1/26/2021,Hujan,31940.91641,37343.12143
154,Cabe Rawit,1/26/2021,Hujan,48817.31494,51851.65062
155,Kol,1/26/2021,Hujan,2001.34847,2314.415524
156,Buncis,1/26/2021,Hujan,2831.437545,3323.818824
157,Sawi Putih,1/27/2021,Hujan,3243.504896,3627.145398
158,Cabe Chilli,1/27/2021,Hujan,27751.75293,29551.86783
159,Cabe Kriting,1/27/2021,Hujan,30369.86817,32639.33405
160,Cabe Rawit,1/27/2021,Hujan,49781.25245,52599.14717
161,Kol,1/27/2021,Hujan,5606.119784,6019.523306
162,Buncis,1/27/2021,Hujan,2678.425543,3055.083066
163,Sawi Putih,1/28/2021,Hujan,2929.290662,3398.305442
164,Cabe Chilli,1/28/2021,Hujan,23866.64567,27087.05556
165,Cabe Kriting,1/28/2021,Hujan,29036.17188,33603.89696
166,Cabe Rawit,1/28/2021,Hujan,49252.21014,53246.83476
167,Kol,1/28/2021,Hujan,3735.525297,4020.471647
168,Buncis,1/28/2021,Hujan,5488.112244,6439.922366
169,Sawi Putih,1/29/2021,Hujan,2408.533629,2791.207103
170,Cabe Chilli,1/29/2021,Hujan,20689.31332,22255.95067
171,Cabe Kriting,1/29/2021,Hujan,30736.98648,35595.22235
172,Cabe Rawit,1/29/2021,Hujan,47988.77625,55805.9133
173,Kol,1/29/2021,Hujan,5288.311283,5861.133728
174,Buncis,1/29/2021,Hujan,2807.173116,3273.365381
175,Sawi Putih,1/30/2021,Hujan,563.2953823,610.8941594
176,Cabe Chilli,1/30/2021,Hujan,22749.31966,24674.2227
177,Cabe Kriting,1/30/2021,Hujan,30378.73633,34234.56593
178,Cabe Rawit,1/30/2021,Hujan,44288.60084,49754.49154
179,Kol,1/30/2021,Hujan,5240.203609,5566.82269
180,Buncis,1/30/2021,Hujan,4062.196948,4356.420819
181,Sawi Putih,1/31/2021,Hujan,2246.291656,2632.595575
182,Cabe Chilli,1/31/2021,Hujan,22619.89076,25079.60177
183,Cabe Kriting,1/31/2021,Hujan,28118.94334,30202.3199
184,Cabe Rawit,1/31/2021,Hujan,55875.68425,60092.46457
185,Kol,1/31/2021,Hujan,4901.936688,5351.838004
186,Buncis,1/31/2021,Hujan,3701.643426,4234.821843
187,Sawi Putih,2/1/2021,Hujan,3624.565527,4062.9415
188,Cabe Chilli,2/1/2021,Hujan,27731.66087,32479.55265
189,Cabe Kriting,2/1/2021,Hujan,33322.79249,36606.50614
190,Cabe Rawit,2/1/2021,Hujan,36831.76558,43278.71247
191,Kol,2/1/2021,Hujan,3053.484333,3515.298269
192,Buncis,2/1/2021,Hujan,6689.473777,7439.409934
193,Sawi Putih,2/2/2021,Hujan,2928.577275,3204.211873
194,Cabe Chilli,2/2/2021,Hujan,27406.44892,29809.53832
195,Cabe Kriting,2/2/2021,Hujan,34514.2156,40038.23219
196,Cabe Rawit,2/2/2021,Hujan,43006.44983,49275.62535
197,Kol,2/2/2021,Hujan,3345.8471,3635.861019
198,Buncis,2/2/2021,Hujan,5241.367491,5779.267665
199,Sawi Putih,2/3/2021,Hujan,1115.540977,1180.526376
200,Cabe Chilli,2/3/2021,Hujan,26351.14972,29284.55783
201,Cabe Kriting,2/3/2021,Hujan,24288.10699,26318.17139
202,Cabe Rawit,2/3/2021,Hujan,55742.90155,60613.07633
203,Kol,2/3/2021,Hujan,2516.440696,2725.551772
204,Buncis,2/3/2021,Hujan,5136.793399,5522.785511
205,Sawi Putih,2/4/2021,Hujan,2163.546274,2519.075152
206,Cabe Chilli,2/4/2021,Hujan,17884.26682,20192.42422
207,Cabe Kriting,2/4/2021,Hujan,35178.78709,38247.44388
208,Cabe Rawit,2/4/2021,Hujan,42831.06937,49076.23139
209,Kol,2/4/2021,Hujan,1961.250356,2233.049185
210,Buncis,2/4/2021,Hujan,5800.563663,6660.483684
211,Sawi Putih,2/5/2021,Hujan,2641.045497,2879.109868
212,Cabe Chilli,2/5/2021,Hujan,23868.20321,27245.3271
213,Cabe Kriting,2/5/2021,Hujan,29318.21415,33311.43336
214,Cabe Rawit,2/5/2021,Hujan,50964.91752,59208.01419
215,Kol,2/5/2021,Hujan,6200.033118,6872.275985
216,Buncis,2/5/2021,Hujan,1849.145576,2122.237884
217,Sawi Putih,2/6/2021,Hujan,3215.678676,3484.291425
218,Cabe Chilli,2/6/2021,Hujan,20718.13059,23745.24252
219,Cabe Kriting,2/6/2021,Hujan,23838.15183,25549.12943
220,Cabe Rawit,2/6/2021,Hujan,51999.92746,56557.75069
221,Kol,2/6/2021,Hujan,1600.528198,1709.508732
222,Buncis,2/6/2021,Hujan,6994.380783,7582.350296
223,Sawi Putih,2/7/2021,Hujan,1932.113538,2053.242238
224,Cabe Chilli,2/7/2021,Hujan,24602.31479,28479.02654
225,Cabe Kriting,2/7/2021,Hujan,32687.52862,37821.26849
226,Cabe Rawit,2/7/2021,Hujan,41518.37317,45471.11189
227,Kol,2/7/2021,Hujan,6395.460907,7078.523479
228,Buncis,2/7/2021,Hujan,3562.782703,3770.893283
229,Sawi Putih,2/8/2021,Hujan,1922.09827,2029.093662
230,Cabe Chilli,2/8/2021,Hujan,22757.80215,26560.75895
231,Cabe Kriting,2/8/2021,Hujan,29939.55343,34509.31918
232,Cabe Rawit,2/8/2021,Hujan,57329.94346,62384.784
233,Kol,2/8/2021,Hujan,2817.876264,3201.700811
234,Buncis,2/8/2021,Hujan,2736.235603,3065.65851
235,Sawi Putih,2/9/2021,Hujan,3680.298735,3957.665517
236,Cabe Chilli,2/9/2021,Hujan,27209.13531,29169.33343
237,Cabe Kriting,2/9/2021,Hujan,33417.69171,35962.94228
238,Cabe Rawit,2/9/2021,Hujan,43017.33924,50101.9609
239,Kol,2/9/2021,Hujan,6518.69744,6865.485239
240,Buncis,2/9/2021,Hujan,4668.874799,5352.534102
241,Sawi Putih,2/10/2021,Hujan,492.8423663,543.3863406
242,Cabe Chilli,2/10/2021,Hujan,24692.06106,27470.93599
243,Cabe Kriting,2/10/2021,Hujan,25607.07598,30017.47041
244,Cabe Rawit,2/10/2021,Hujan,49925.57949,56180.0132
245,Kol,2/10/2021,Hujan,6435.639557,7391.597096
246,Buncis,2/10/2021,Hujan,6312.843613,6796.755441
247,Sawi Putih,2/11/2021,Hujan,3789.279205,4354.148059
248,Cabe Chilli,2/11/2021,Hujan,24950.36047,28234.24893
249,Cabe Kriting,2/11/2021,Hujan,33992.83794,36516.67652
250,Cabe Rawit,2/11/2021,Hujan,50259.0936,54079.65753
251,Kol,2/11/2021,Hujan,6255.377105,7285.881983
252,Buncis,2/11/2021,Hujan,2788.973752,3025.872142
253,Sawi Putih,2/12/2021,Hujan,3936.435593,4611.595529
254,Cabe Chilli,2/12/2021,Hujan,22257.48445,25285.96366
255,Cabe Kriting,2/12/2021,Hujan,34074.91888,37044.34234
256,Cabe Rawit,2/12/2021,Hujan,48516.90798,52262.76813
257,Kol,2/12/2021,Hujan,1915.66809,2052.149755
258,Buncis,2/12/2021,Hujan,6989.589416,7508.857908
259,Sawi Putih,2/13/2021,Hujan,1373.169706,1573.872667
260,Cabe Chilli,2/13/2021,Hujan,24944.92145,28055.09447
261,Cabe Kriting,2/13/2021,Hujan,26352.74314,28327.75213
262,Cabe Rawit,2/13/2021,Hujan,49874.11876,58593.89118
263,Kol,2/13/2021,Hujan,2904.056503,3298.524356
264,Buncis,2/13/2021,Hujan,4263.193739,4697.883596
265,Sawi Putih,2/14/2021,Hujan,3920.987319,4318.510369
266,Cabe Chilli,2/14/2021,Hujan,28912.46051,32874.42255
267,Cabe Kriting,2/14/2021,Hujan,38997.8739,42101.17295
268,Cabe Rawit,2/14/2021,Hujan,48243.19498,56304.08844
269,Kol,2/14/2021,Hujan,3638.841544,4251.417381
270,Buncis,2/14/2021,Hujan,3803.734542,4234.572412
271,Sawi Putih,2/15/2021,Hujan,3205.836027,3533.834123
272,Cabe Chilli,2/15/2021,Hujan,24757.35692,27283.32509
273,Cabe Kriting,2/15/2021,Hujan,30264.75815,33214.93027
274,Cabe Rawit,2/15/2021,Hujan,41156.80388,43469.87831
275,Kol,2/15/2021,Hujan,4186.230106,4740.727722
276,Buncis,2/15/2021,Hujan,5543.783077,6475.312292
277,Sawi Putih,2/16/2021,Hujan,1339.019492,1552.575558
278,Cabe Chilli,2/16/2021,Hujan,21160.91729,22738.36882
279,Cabe Kriting,2/16/2021,Hujan,31327.71888,35069.89903
280,Cabe Rawit,2/16/2021,Hujan,52114.69044,57285.65854
281,Kol,2/16/2021,Hujan,4345.183974,4917.781596
282,Buncis,2/16/2021,Hujan,1960.182675,2212.78154
283,Sawi Putih,2/17/2021,Hujan,1380.024738,1543.367985
284,Cabe Chilli,2/17/2021,Hujan,24701.82511,28356.74971
285,Cabe Kriting,2/17/2021,Hujan,30703.0938,34971.94607
286,Cabe Rawit,2/17/2021,Hujan,54946.34078,60480.9994
287,Kol,2/17/2021,Hujan,2386.938676,2681.505214
288,Buncis,2/17/2021,Hujan,2961.186594,3308.338576
289,Sawi Putih,2/18/2021,Hujan,1938.571334,2202.595647
290,Cabe Chilli,2/18/2021,Hujan,22978.31876,25596.89759
291,Cabe Kriting,2/18/2021,Hujan,35633.29344,40746.65346
292,Cabe Rawit,2/18/2021,Hujan,52235.17652,55309.21322
293,Kol,2/18/2021,Hujan,2132.772346,2331.875565
294,Buncis,2/18/2021,Hujan,2800.161224,3020.361683
295,Sawi Putih,2/19/2021,Hujan,2498.11131,2925.265842
296,Cabe Chilli,2/19/2021,Hujan,24485.51425,26741.54489
297,Cabe Kriting,2/19/2021,Hujan,26394.61309,29496.95408
298,Cabe Rawit,2/19/2021,Hujan,49701.96751,52731.96117
299,Kol,2/19/2021,Hujan,5420.429937,5714.408269
300,Buncis,2/19/2021,Hujan,2360.733319,2613.389257
301,Sawi Putih,2/20/2021,Hujan,2820.134476,2989.682549
302,Cabe Chilli,2/20/2021,Hujan,22493.37302,23930.48489
303,Cabe Kriting,2/20/2021,Hujan,35661.31898,40462.52333
304,Cabe Rawit,2/20/2021,Hujan,50155.07783,55951.54386
305,Kol,2/20/2021,Hujan,6457.70258,6868.93409
306,Buncis,2/20/2021,Hujan,5376.225932,6154.951669
307,Sawi Putih,2/21/2021,Hujan,1597.9329,1709.724421
308,Cabe Chilli,2/21/2021,Hujan,21894.82632,24713.14472
309,Cabe Kriting,2/21/2021,Hujan,28789.94476,31986.35039
310,Cabe Rawit,2/21/2021,Hujan,39042.43281,41929.24794
311,Kol,2/21/2021,Hujan,4450.170675,5167.990208
312,Buncis,2/21/2021,Hujan,5251.896478,5791.21231
313,Sawi Putih,2/22/2021,Hujan,3541.52515,3767.798118
314,Cabe Chilli,2/22/2021,Hujan,24164.80523,26465.73889
315,Cabe Kriting,2/22/2021,Hujan,35959.34512,38367.55326
316,Cabe Rawit,2/22/2021,Hujan,54365.05722,57664.92584
317,Kol,2/22/2021,Hujan,3382.666339,3891.860046
318,Buncis,2/22/2021,Hujan,3010.491822,3237.398369
319,Sawi Putih,2/23/2021,Hujan,674.8206297,738.4375323
320,Cabe Chilli,2/23/2021,Hujan,25523.03881,28716.41518
321,Cabe Kriting,2/23/2021,Hujan,31521.54604,34915.55994
322,Cabe Rawit,2/23/2021,Hujan,53743.39035,58321.4803
323,Kol,2/23/2021,Hujan,2954.672183,3150.088837
324,Buncis,2/23/2021,Hujan,6598.230691,7239.268315
325,Sawi Putih,2/24/2021,Hujan,2103.670885,2433.575175
326,Cabe Chilli,2/24/2021,Hujan,26657.97016,30821.88189
327,Cabe Kriting,2/24/2021,Hujan,28395.00065,30764.81469
328,Cabe Rawit,2/24/2021,Hujan,44642.81143,50837.46891
329,Kol,2/24/2021,Hujan,1820.5319,1988.811133
330,Buncis,2/24/2021,Hujan,4826.539596,5460.333057
331,Sawi Putih,2/25/2021,Hujan,1079.161209,1177.733971
332,Cabe Chilli,2/25/2021,Hujan,25490.7587,28752.03955
333,Cabe Kriting,2/25/2021,Hujan,31122.5995,33628.17812
334,Cabe Rawit,2/25/2021,Hujan,50240.23681,55758.76511
335,Kol,2/25/2021,Hujan,5626.379304,6422.42818
336,Buncis,2/25/2021,Hujan,6352.431721,7035.686754
337,Sawi Putih,2/26/2021,Hujan,3659.849719,4297.888979
338,Cabe Chilli,2/26/2021,Hujan,26836.1593,30136.87029
339,Cabe Kriting,2/26/2021,Hujan,31132.04708,35287.95909
340,Cabe Rawit,2/26/2021,Hujan,44836.55951,51924.59086
341,Kol,2/26/2021,Hujan,3004.95966,3511.067584
342,Buncis,2/26/2021,Hujan,3088.014846,3269.673265
343,Sawi Putih,2/27/2021,Hujan,1089.640981,1218.92133
344,Cabe Chilli,2/27/2021,Hujan,32099.56783,34397.59967
345,Cabe Kriting,2/27/2021,Hujan,28515.48741,33288.48429
346,Cabe Rawit,2/27/2021,Hujan,46718.01525,50461.26772
347,Kol,2/27/2021,Hujan,5464.426028,6383.428068
348,Buncis,2/27/2021,Hujan,5606.703949,6483.591362
349,Sawi Putih,2/28/2021,Hujan,3466.353107,3736.499586
350,Cabe Chilli,2/28/2021,Hujan,29249.11767,31731.41835
351,Cabe Kriting,2/28/2021,Hujan,28140.85315,32485.60906
352,Cabe Rawit,2/28/2021,Hujan,41235.736,45237.40887
353,Kol,2/28/2021,Hujan,1777.866377,2079.793535
354,Buncis,2/28/2021,Hujan,3559.811491,3905.13226
355,Sawi Putih,3/1/2021,Hujan,1951.932034,2242.41825
356,Cabe Chilli,3/1/2021,Hujan,20749.34628,24330.24871
357,Cabe Kriting,3/1/2021,Hujan,36819.91684,41759.94153
358,Cabe Rawit,3/1/2021,Hujan,43633.83632,51327.36782
359,Kol,3/1/2021,Hujan,4638.508961,5317.620816
360,Buncis,3/1/2021,Hujan,4805.013809,5347.023979
361,Sawi Putih,3/2/2021,Hujan,3206.725654,3536.167146
362,Cabe Chilli,3/2/2021,Hujan,30082.09492,34553.53841
363,Cabe Kriting,3/2/2021,Hujan,28591.71081,32511.39982
364,Cabe Rawit,3/2/2021,Hujan,40476.45023,46359.07665
365,Kol,3/2/2021,Hujan,4525.174957,4947.890828
366,Buncis,3/2/2021,Hujan,5618.910076,6027.231301
367,Sawi Putih,3/3/2021,Hujan,535.5189438,569.2166597
368,Cabe Chilli,3/3/2021,Hujan,24787.66722,26449.13982
369,Cabe Kriting,3/3/2021,Hujan,28998.84316,33155.43008
370,Cabe Rawit,3/3/2021,Hujan,38328.73873,43811.38645
371,Kol,3/3/2021,Hujan,5236.353512,5602.553764
372,Buncis,3/3/2021,Hujan,5234.888176,5780.887673
373,Sawi Putih,3/4/2021,Hujan,3859.584615,4410.683112
374,Cabe Chilli,3/4/2021,Hujan,24863.12014,28546.8639
375,Cabe Kriting,3/4/2021,Hujan,32483.7659,36820.37598
376,Cabe Rawit,3/4/2021,Hujan,44341.70766,47503.81375
377,Kol,3/4/2021,Hujan,6240.009146,6972.477773
378,Buncis,3/4/2021,Hujan,3257.462218,3521.864421
379,Sawi Putih,3/5/2021,Hujan,3658.048583,4171.356062
380,Cabe Chilli,3/5/2021,Hujan,22312.11184,24322.10389
381,Cabe Kriting,3/5/2021,Hujan,30128.42828,33867.12295
382,Cabe Rawit,3/5/2021,Hujan,51885.08622,58407.43488
383,Kol,3/5/2021,Hujan,3128.591147,3477.343446
384,Buncis,3/5/2021,Hujan,2924.153823,3121.037283
385,Sawi Putih,3/6/2021,Hujan,1837.905845,2032.644987
386,Cabe Chilli,3/6/2021,Hujan,23415.21764,24780.59791
387,Cabe Kriting,3/6/2021,Hujan,29414.16455,34213.51283
388,Cabe Rawit,3/6/2021,Hujan,52487.89539,60090.67879
389,Kol,3/6/2021,Hujan,2870.099001,3352.490163
390,Buncis,3/6/2021,Hujan,5255.795648,5946.471289
391,Sawi Putih,3/7/2021,Hujan,4082.189359,4449.19922
392,Cabe Chilli,3/7/2021,Hujan,21165.42281,22826.98789
393,Cabe Kriting,3/7/2021,Hujan,39687.04582,46101.27747
394,Cabe Rawit,3/7/2021,Hujan,51103.62123,56481.42442
395,Kol,3/7/2021,Hujan,6124.233543,6485.803252
396,Buncis,3/7/2021,Hujan,5595.453992,6126.745387
397,Sawi Putih,3/8/2021,Hujan,3380.692228,3930.68117
398,Cabe Chilli,3/8/2021,Hujan,24786.6907,26780.91268
399,Cabe Kriting,3/8/2021,Hujan,33274.72012,35570.63185
400,Cabe Rawit,3/8/2021,Hujan,39985.55161,45927.89493
401,Kol,3/8/2021,Hujan,3200.425107,3553.934699
402,Buncis,3/8/2021,Hujan,2891.937761,3135.052558
403,Sawi Putih,3/9/2021,Hujan,886.6164001,989.7703013
404,Cabe Chilli,3/9/2021,Hujan,22444.06998,25238.69097
405,Cabe Kriting,3/9/2021,Hujan,33426.27325,39131.74021
406,Cabe Rawit,3/9/2021,Hujan,44410.90176,49030.21067
407,Kol,3/9/2021,Hujan,2158.429275,2421.096921
408,Buncis,3/9/2021,Hujan,3783.840176,4096.078086
409,Sawi Putih,3/10/2021,Hujan,3357.841613,3562.923287
410,Cabe Chilli,3/10/2021,Hujan,26594.49864,28590.90297
411,Cabe Kriting,3/10/2021,Hujan,32912.54421,35356.55679
412,Cabe Rawit,3/10/2021,Hujan,53645.30543,62823.81353
413,Kol,3/10/2021,Hujan,2534.834541,2940.577211
414,Buncis,3/10/2021,Hujan,5473.800782,6136.75587
415,Sawi Putih,3/11/2021,Hujan,2578.838425,2853.357221
416,Cabe Chilli,3/11/2021,Hujan,22054.89723,25468.20394
