ID,Sawi Putih,Cabe Chilli,Cabe Kriting,Cabe Rawit,Kol,Buncis,Tanggal Penjualan,Penjualan total per hari,Ongkos Kirim,Lokasi Pengiriman
34,330.428927,0,825.6389706,0,405.0366076,2666.425935,2/3/2021,4227.530441,2113765.22,Pasar Induk
35,3723.078413,0,0,257.5812053,0,0,2/4/2021,3980.659618,1990329.809,Pasar Induk
36,0,282.2039939,0,1275.596397,481.0112539,0,2/5/2021,2038.811645,1019405.822,Pasar Induk
37,0,0,773.3655393,251.2077742,1497.904733,0,2/6/2021,2522.478047,1261239.023,Pasar Bogor
38,0,244.0163199,0,3873.431371,502.7444136,0,2/7/2021,4620.192104,2310096.052,Pasar Induk
39,0,242.1670874,3805.464719,0,0,565.5575831,2/8/2021,4613.189389,2306594.695,Pasar Bogor
40,0,246.7042667,334.8810094,3621.319783,0,259.9319494,2/9/2021,4462.837009,2231418.504,Pasar Gudang
41,0,572.8935827,0,2433.974148,1332.657261,0,2/10/2021,4339.524992,2169762.496,Pasar Gudang
42,245.7105045,248.5378089,3097.446858,0,0,0,2/11/2021,3591.695171,1795847.586,Pasar Pasundan
43,248.8877333,0,258.1890154,0,4131.013697,0,2/12/2021,4638.090446,2319045.223,Pasar Pasundan
44,0,246.2768348,0,0,2013.651823,0,2/13/2021,2259.928658,1129964.329,Pasar Bogor
45,0,2827.926244,0,1537.00084,0,244.6268017,2/14/2021,4609.553887,2304776.943,Pasar Gudang
46,1388.924153,519.5578883,252.6185436,0,0,0,2/15/2021,2161.100585,1080550.293,Pasar Pasundan
47,0,2603.227448,255.6459318,962.3049219,0,0,2/16/2021,3821.178302,1910589.151,Pasar Pasundan
48,0,0,1732.387217,0,1174.612954,1372.377884,2/17/2021,4279.378055,2139689.028,Pasar Gudang
49,668.6125804,261.5156733,0,0,285.2856563,2615.338688,2/18/2021,3830.752598,1915376.299,Pasar Gudang
50,0,0,0,1190.833393,247.2357736,2298.199644,2/19/2021,3736.26881,1868134.405,Pasar Pasundan
51,1740.940465,0,245.3577668,0,0,985.1532021,2/20/2021,2971.451434,1485725.717,Pasar Bogor
52,475.256029,1922.872227,0,248.9960616,782.7848409,0,2/21/2021,3429.909158,1714954.579,Pasar Bogor
53,0,246.7864786,0,0,1166.386845,735.6772543,2/22/2021,2148.850578,1074425.289,Pasar Bogor
54,2684.333051,0,0,0,257.0059202,0,2/23/2021,2941.338971,1470669.485,Pasar Gudang
55,0,238.7511243,0,257.9601141,3275.347132,0,2/24/2021,3772.05837,1886029.185,Pasar Gudang
56,1356.353335,0,0,2342.937394,0,389.0071853,2/25/2021,4088.297914,2044148.957,Pasar Bogor
57,0,878.0759019,0,239.144887,3335.54517,0,2/26/2021,4452.765959,2226382.979,Pasar Gudang
58,0,1481.127527,0,518.3727225,987.5842967,0,2/27/2021,2987.084546,1493542.273,Pasar Bogor
59,775.9301691,0,0,327.3840175,1302.171227,536.9933974,2/28/2021,2942.478811,1471239.405,Pasar Bogor
60,1510.280231,0,823.1928073,1170.714442,453.2123042,0,3/1/2021,3957.399785,1978699.892,Pasar Gudang
61,609.8921187,1784.018548,876.1296033,0,378.8746699,0,3/2/2021,3648.91494,1824457.47,Pasar Pasundan
62,0,0,366.9188041,1098.347241,333.201778,251.7171155,3/3/2021,2050.184939,1025092.469,Pasar Bogor
63,985.5490815,273.7498671,240.6052088,0,2845.22487,0,3/4/2021,4345.129027,2172564.513,Pasar Gudang
64,273.1378917,0,261.9446676,0,0,4425.989045,3/5/2021,4961.071605,2480535.802,Pasar Induk
65,2924.844383,0,1002.582386,0,302.205871,0,3/6/2021,4229.63264,2114816.32,Pasar Induk
66,1971.230603,325.688548,0,0,0,1671.134882,3/7/2021,3968.054033,1984027.017,Pasar Gudang
67,0,249.9112857,2324.669513,293.5779336,561.5917283,0,3/8/2021,3429.75046,1714875.23,Pasar Gudang
68,1928.84938,0,884.8475436,248.0724155,254.4253471,0,3/9/2021,3316.194686,1658097.343,Pasar Gudang
69,0,639.6806532,0,416.4374906,1008.120833,0,3/10/2021,2064.238976,1032119.488,Pasar Induk
70,0,1952.741507,279.8587081,0,0,1332.603048,3/11/2021,3565.203263,1782601.632,Pasar Gudang
71,0,933.6089209,477.7270456,0,0,601.5818513,3/12/2021,2012.917818,1006458.909,Pasar Gudang
72,643.2090308,0,0,243.6266821,0,2390.349163,3/13/2021,3277.184876,1638592.438,Pasar Gudang
73,1189.156447,2916.062073,0,0,0,243.7607135,3/14/2021,4348.979234,2174489.617,Pasar Pasundan
74,597.3520453,0,0,279.6902456,256.384811,989.293494,3/15/2021,2122.720596,1061360.298,Pasar Induk
75,877.6755849,0,0,1308.987456,0,1913.338112,3/16/2021,4100.001153,2050000.577,Pasar Pasundan
76,3023.737722,0,0,0,253.0130373,0,3/17/2021,3276.750759,1638375.38,Pasar Induk
77,3388.029084,0,0,0,254.0470478,0,3/18/2021,3642.076132,1821038.066,Pasar Gudang
78,1642.032262,0,0,246.4240496,1518.306908,239.6083713,3/19/2021,3646.371591,1823185.795,Pasar Pasundan
79,0,0,477.3338131,243.9265002,1560.598932,0,3/20/2021,2281.859245,1140929.623,Pasar Gudang
80,1353.718742,1510.70508,0,0,0,368.0558436,3/21/2021,3232.479666,1616239.833,Pasar Induk
81,0,2265.722545,0,242.0375028,302.2644711,248.1507039,3/22/2021,3058.175223,1529087.611,Pasar Pasundan
82,255.0307537,0,0,3086.419466,1265.502128,0,3/23/2021,4606.952348,2303476.174,Pasar Induk
83,237.8141981,0,0,2227.417154,1335.961412,0,3/24/2021,3801.192764,1900596.382,Pasar Induk
84,256.6653275,0,0,0,291.7598019,2983.648032,3/25/2021,3532.073162,1766036.581,Pasar Pasundan
85,3072.976898,0,249.3819625,0,892.4525348,0,3/26/2021,4214.811396,2107405.698,Pasar Pasundan
86,0,382.4821747,0,0,2038.911156,1335.120232,3/27/2021,3756.513563,1878256.781,Pasar Gudang
87,0,0,0,254.7675559,1634.918946,267.0618656,3/28/2021,2156.748367,1078374.184,Pasar Induk
88,0,294.9867761,1409.398408,0,599.4565112,0,3/29/2021,2303.841696,1151920.848,Pasar Induk
89,3488.224829,0,0,0,684.4873338,297.7418667,3/30/2021,4470.454029,2235227.015,Pasar Induk
90,2161.304369,261.386835,0,2201.636781,0,267.5138355,3/31/2021,4891.84182,2445920.91,Pasar Bogor
91,2080.03407,0,259.5443111,428.6686575,0,0,4/1/2021,2768.247039,1384123.519,Pasar Induk
92,0,0,3538.160532,0,275.9681615,244.5204765,4/2/2021,4058.64917,2029324.585,Pasar Gudang
93,0,302.1495806,0,0,1236.425122,422.909875,4/3/2021,1961.484578,980742.2889,Pasar Pasundan
94,0,246.2506154,0,237.7517404,2469.676151,1274.674426,4/4/2021,4228.352932,2114176.466,Pasar Gudang
95,845.5602004,0,975.9678739,0,0,314.5140357,4/5/2021,2136.04211,1068021.055,Pasar Gudang
96,2005.471911,1065.357678,1327.645378,287.6286073,0,0,4/6/2021,4686.103574,2343051.787,Pasar Gudang
97,1535.667459,247.2573033,0,0,0,3085.512061,4/7/2021,4868.436824,2434218.412,Pasar Induk
98,0,0,0,1214.824973,495.5224134,459.6986639,4/8/2021,2170.04605,1085023.025,Pasar Induk
99,1289.633836,0,0,1000.12781,0,547.2252489,4/9/2021,2836.986895,1418493.447,Pasar Gudang
100,1965.669011,0,411.9692787,0,284.5374526,0,4/10/2021,2662.175742,1331087.871,Pasar Bogor
101,1775.041732,0,0,0,393.6455217,1606.282303,4/11/2021,3774.969557,1887484.779,Pasar Bogor
102,0,358.4619751,465.289986,0,2208.665114,0,4/12/2021,3032.417075,1516208.538,Pasar Pasundan
103,0,0,0,398.9257023,2325.621471,433.7909366,4/13/2021,3158.33811,1579169.055,Pasar Gudang
104,0,1678.132627,509.8048623,2848.718472,0,0,4/14/2021,5036.655961,2518327.981,Pasar Gudang
105,514.3055653,0,0,2894.308387,0,779.2031002,4/15/2021,4187.817052,2093908.526,Pasar Pasundan
106,3033.858987,359.6086524,538.0924624,0,0,0,4/16/2021,3931.560102,1965780.051,Pasar Pasundan
107,1491.151429,2701.737777,0,0,0,796.4889014,4/17/2021,4989.378107,2494689.054,Pasar Bogor
108,911.2608735,0,0,0,1492.408881,428.1278793,4/18/2021,2831.797634,1415898.817,Pasar Gudang
109,1650.240979,454.1876458,0,662.8089006,2313.230441,0,4/19/2021,5080.467967,2540233.984,Pasar Pasundan
110,354.1829069,0,0,0,2538.92692,246.9518363,4/20/2021,3140.061663,1570030.832,Pasar Pasundan
111,0,966.8666295,954.692351,3154.478673,0,0,4/21/2021,5076.037653,2538018.827,Pasar Gudang
112,1240.653947,1137.239918,2365.47117,0,0,198.2230078,4/22/2021,4941.588043,2470794.022,Pasar Gudang
113,0,0,1398.102886,0,2164.615224,258.1705648,4/23/2021,3820.888675,1910444.337,Pasar Bogor
114,313.5330876,364.1064462,1784.895319,0,0,1901.479381,4/24/2021,4364.014235,2182007.117,Pasar Induk
115,265.5140469,0,0,0,548.2063532,2318.428243,4/25/2021,3132.148643,1566074.321,Pasar Induk
116,3536.411589,0,0,0,257.6887639,261.5238855,4/26/2021,4055.624239,2027812.119,Pasar Pasundan
117,1848.49155,0,0,0,507.1498168,825.2565674,4/27/2021,3180.897934,1590448.967,Pasar Gudang
118,0,0,3876.134465,273.4683857,598.3112604,305.9861992,4/28/2021,5053.900311,2526950.155,Pasar Pasundan
119,910.6644584,0,1356.70343,1152.931162,1342.398493,0,4/29/2021,4762.697544,2381348.772,Pasar Pasundan
120,0,0,0,1140.486183,1827.068534,252.4159043,4/30/2021,3219.970621,1609985.31,Pasar Induk
121,1861.585551,0,0,0,804.0848759,485.3340178,5/1/2021,3151.004445,1575502.223,Pasar Gudang
122,275.356397,603.7547398,0,0,3878.217298,307.4049028,5/2/2021,5064.733337,2532366.669,Pasar Pasundan
123,0,2512.084277,1332.146491,253.1469115,878.861989,0,5/3/2021,4976.239668,2488119.834,Pasar Gudang
124,199.3222558,2123.943817,2386.977498,0,174.992443,0,5/4/2021,4885.236014,2442618.007,Pasar Bogor
125,251.3301828,0,546.2708247,4127.253428,281.1208048,0,5/5/2021,5205.97524,2602987.62,Pasar Pasundan
126,237.3783838,0,931.5582255,0,3735.97226,242.1909706,5/6/2021,5147.09984,2573549.92,Pasar Gudang
127,233.7814999,0,0,4060.859553,0,517.2639207,5/7/2021,4811.904974,2405952.487,Pasar Gudang
128,0,0,0,2942.452672,1673.037865,277.8747854,5/8/2021,4893.365323,2446682.661,Pasar Gudang
129,0,0,498.8957676,2057.532162,578.1388411,287.259865,5/9/2021,3421.826636,1710913.318,Pasar Gudang
130,214.5052573,832.8104232,3392.945537,0,489.5952476,0,5/10/2021,4929.856465,2464928.232,Pasar Induk
131,0,0,2833.533044,1826.920071,0,226.3524785,5/11/2021,4886.805594,2443402.797,Pasar Induk
132,622.9445229,0,1216.714996,701.3753086,0,913.2428357,5/12/2021,3454.277663,1727138.832,Pasar Bogor
133,612.0841128,3407.109782,958.1751894,0,0,0,5/13/2021,4977.369084,2488684.542,Pasar Pasundan
134,1820.779723,0,1251.74828,0,1076.520749,244.4652736,5/14/2021,4393.514025,2196757.012,Pasar Bogor
135,0,0,355.1462504,1484.671734,1788.718883,1398.957254,5/15/2021,5027.494122,2513747.061,Pasar Gudang
136,0,0,475.938668,0,2087.724264,973.7115653,5/16/2021,3537.374497,1768687.249,Pasar Gudang
137,1709.409092,411.2444511,1035.256169,0,1656.236981,0,5/17/2021,4812.146692,2406073.346,Pasar Pasundan
138,3209.672305,573.0108154,380.3982379,0,0,0,5/18/2021,4163.081358,2081540.679,Pasar Induk
139,1986.246231,0,628.6249459,0,0,393.9467195,5/19/2021,3008.817897,1504408.948,Pasar Pasundan
140,0,4279.418581,0,407.0548252,0,429.5480992,5/20/2021,5116.021505,2558010.753,Pasar Induk
141,0,835.1958168,1090.385099,800.879767,0,977.6114967,5/21/2021,3704.07218,1852036.09,Pasar Pasundan
142,977.650552,0,0,1713.400652,698.3562625,0,5/22/2021,3389.407467,1694703.733,Pasar Pasundan
143,1545.070274,0,0,3186.701591,0,225.1755632,5/23/2021,4956.947428,2478473.714,Pasar Gudang
144,0,249.1011389,3772.770391,825.2703574,0,233.0330133,5/24/2021,5080.174901,2540087.45,Pasar Pasundan
145,274.7987842,893.4515915,1635.962286,0,0,0,5/25/2021,2804.212662,1402106.331,Pasar Gudang
146,169.598482,1135.10563,3309.690088,0,332.4534884,0,5/26/2021,4946.847689,2473423.844,Pasar Gudang
147,0,1661.718471,0,978.1696281,1356.805314,1105.974751,5/27/2021,5102.668165,2551334.083,Pasar Induk
148,247.0095066,0,2247.525773,244.203948,340.4994819,0,5/28/2021,3079.238709,1539619.355,Pasar Pasundan
149,0,0,1837.969955,0,243.3847408,295.0065161,5/29/2021,2376.361212,1188180.606,Pasar Induk
150,0,0,2396.571786,808.2452766,0,262.2500247,5/30/2021,3467.067087,1733533.544,Pasar Induk
151,679.0705717,0,1370.528581,0,716.747232,0,5/31/2021,2766.346385,1383173.192,Pasar Bogor
152,594.3367768,0,0,0,246.3178275,2274.9826,6/1/2021,3115.637204,1557818.602,Pasar Bogor
153,0,789.7623855,0,3403.689248,0,251.6728121,6/2/2021,4445.124446,2222562.223,Pasar Induk
154,418.6910025,0,0,241.1145881,0,2555.248835,6/3/2021,3215.054426,1607527.213,Pasar Pasundan
155,0,246.0356321,246.4877944,0,0,3586.140531,6/4/2021,4078.663957,2039331.979,Pasar Induk
156,0,1871.954796,1090.155622,0,1021.676501,0,6/5/2021,3983.786919,1991893.46,Pasar Gudang
157,0,3205.723704,248.2318224,0,319.8315847,0,6/6/2021,3773.787111,1886893.555,Pasar Induk
158,0,0,1035.890431,375.4919787,1563.77572,0,6/7/2021,2975.15813,1487579.065,Pasar Induk
159,0,259.3947109,0,1405.949394,0,2593.119093,6/8/2021,4258.463198,2129231.599,Pasar Bogor
160,0,0,1408.465895,860.0539492,454.8516649,0,6/9/2021,2723.371509,1361685.754,Pasar Pasundan
161,0,256.0237535,2729.294852,252.3190768,0,624.5929187,6/10/2021,3862.230601,1931115.3,Pasar Induk
162,0,750.1868069,0,248.7204676,251.1650306,1955.476985,6/11/2021,3205.54929,1602774.645,Pasar Bogor
163,0,679.4208277,851.4754638,0,1089.505427,0,6/12/2021,2620.401718,1310200.859,Pasar Bogor
164,969.3709718,1202.74739,243.8759085,0,2603.299428,0,6/13/2021,5019.293699,2509646.849,Pasar Gudang
165,0,0,604.6249561,225.5916185,991.7431854,3121.779228,6/14/2021,4943.738988,2471869.494,Pasar Bogor
166,0,1188.568877,0,551.6053999,0,573.7842143,6/15/2021,2313.958491,1156979.246,Pasar Pasundan
167,0,584.1334094,1283.412472,0,732.0806866,0,6/16/2021,2599.626568,1299813.284,Pasar Pasundan
168,318.0774175,1860.441827,0,2069.05498,0,0,6/17/2021,4247.574224,2123787.112,Pasar Induk
169,0,496.5113691,431.9629072,1044.272299,0,0,6/18/2021,1972.746575,986373.2876,Pasar Pasundan
170,0,0,2833.927243,432.2845701,0,321.769415,6/19/2021,3587.981229,1793990.614,Pasar Bogor
171,2092.997115,0,0,1487.075903,1380.185906,0,6/20/2021,4960.258924,2480129.462,Pasar Pasundan
172,211.355731,3985.419651,427.0546482,0,289.139572,0,6/21/2021,4912.969602,2456484.801,Pasar Gudang
173,0,760.8816635,0,616.8827816,1996.862411,1692.432972,6/22/2021,5067.059828,2533529.914,Pasar Gudang
174,223.0157702,4762.194561,0,0,213.0798618,0,6/23/2021,5198.290193,2599145.096,Pasar Gudang
175,2448.378878,0,640.8675744,638.8884022,359.6205332,0,6/24/2021,4087.755388,2043877.694,Pasar Induk
176,0,0,297.042975,0,4455.195764,297.1096143,6/25/2021,5049.348353,2524674.176,Pasar Bogor
177,0,0,2620.034114,473.011973,1894.843554,0,6/26/2021,4987.88964,2493944.82,Pasar Induk
178,846.0275332,434.1126416,0,3647.356457,0,0,6/27/2021,4927.496632,2463748.316,Pasar Gudang
179,2725.329249,456.4802806,0,1309.537859,0,457.506468,6/28/2021,4948.853857,2474426.928,Pasar Pasundan
180,0,0,596.9077611,4089.959968,0,430.1710016,6/29/2021,5117.038731,2558519.365,Pasar Bogor
181,0,372.9868435,0,0,4492.060425,284.7502498,6/30/2021,5149.797518,2574898.759,Pasar Gudang
182,293.6897748,0,3981.422649,524.3034821,0,316.1932226,7/1/2021,5115.609129,2557804.564,Pasar Gudang
183,236.8335923,0,1129.710509,0,3737.782506,0,7/2/2021,5104.326607,2552163.304,Pasar Pasundan
184,341.1359162,0,0,0,4152.066426,0,7/3/2021,4493.202342,2246601.171,Pasar Bogor
185,0,0,427.458186,0,2048.951168,2258.430542,7/4/2021,4734.839896,2367419.948,Pasar Bogor
186,0,703.2639936,1679.474778,0,2594.563201,0,7/5/2021,4977.301972,2488650.986,Pasar Bogor
187,0,0,0,1168.308806,820.1136438,2172.969503,7/6/2021,4161.391953,2080695.976,Pasar Bogor
188,363.9946219,0,0,1426.659222,0,3243.961123,7/7/2021,5034.614968,2517307.484,Pasar Gudang
189,919.6363166,470.7568729,0,584.8479773,0,2688.200523,7/8/2021,4663.44169,2331720.845,Pasar Pasundan
190,517.6914865,0,0,738.8711728,2988.621255,0,7/9/2021,4245.183914,2122591.957,Pasar Gudang
191,2321.07727,0,958.0442161,0,1610.943644,0,7/10/2021,4890.06513,2445032.565,Pasar Pasundan
192,0,4135.45487,428.2993022,0,0,310.6219399,7/11/2021,4874.376112,2437188.056,Pasar Induk
193,1279.639759,0,610.4473236,1097.747761,0,771.21021,7/12/2021,3759.045054,1879522.527,Pasar Gudang
194,960.6393413,671.4098836,0,0,239.0453747,1043.204304,7/13/2021,2914.298903,1457149.452,Pasar Induk
195,0,0,1071.625151,1340.218551,1025.550786,1575.380053,7/14/2021,5012.774541,2506387.271,Pasar Pasundan
196,198.1484492,4520.804948,0,301.4871695,0,0,7/15/2021,5020.440566,2510220.283,Pasar Pasundan
197,0,0,0,3280.643944,237.0363511,1491.289948,7/16/2021,5008.970243,2504485.122,Pasar Bogor
198,0,1172.04051,2025.110371,0,0,1148.904082,7/17/2021,4346.054963,2173027.481,Pasar Gudang
199,635.4190942,1402.708606,512.8632192,0,0,2350.865372,7/18/2021,4901.856292,2450928.146,Pasar Induk
200,307.8184868,373.077334,0,0,2739.812454,0,7/19/2021,3420.708275,1710354.137,Pasar Pasundan
201,0,0,543.5291857,0,4429.442658,0,7/20/2021,4972.971843,2486485.922,Pasar Induk
202,246.8593853,0,370.6009269,2957.683803,0,650.8832367,7/21/2021,4226.027352,2113013.676,Pasar Gudang
203,0,0,342.3354564,575.7506598,4020.814598,0,7/22/2021,4938.900714,2469450.357,Pasar Induk
204,788.0679957,1459.976027,0,0,0,1629.204301,7/23/2021,3877.248323,1938624.161,Pasar Bogor
205,249.3089856,0,0,2546.88784,807.4035498,1420.402518,7/24/2021,5024.002894,2512001.447,Pasar Bogor
206,0,1644.080915,245.204472,2836.467554,0,167.2482154,7/25/2021,4893.001156,2446500.578,Pasar Bogor
207,1189.850845,913.6302191,2922.734363,0,0,0,7/26/2021,5026.215428,2513107.714,Pasar Gudang
208,0,0,3896.368591,931.0032833,0,167.9410378,7/27/2021,4995.312912,2497656.456,Pasar Bogor
209,0,0,421.7485379,1908.889884,0,1449.740579,7/28/2021,3780.379001,1890189.501,Pasar Gudang
210,0,0,1831.766213,664.9244535,551.779996,0,7/29/2021,3048.470663,1524235.331,Pasar Bogor
211,1349.461661,0,0,962.9805834,757.8142905,0,7/30/2021,3070.256535,1535128.267,Pasar Induk
212,175.6788666,4577.763297,0,0,216.9209985,171.4947237,7/31/2021,5141.857886,2570928.943,Pasar Induk
213,0,0,758.2819741,0,1978.51528,427.278422,8/1/2021,3164.075676,1582037.838,Pasar Pasundan
214,1934.397115,384.3881558,0,2290.323531,0,0,8/2/2021,4609.108803,2304554.401,Pasar Bogor
215,1082.786812,542.9579297,0,0,0,642.404559,8/3/2021,2268.149301,1134074.651,Pasar Bogor
216,0,0,723.085918,0,976.8030158,565.0300604,8/4/2021,2264.918994,1132459.497,Pasar Pasundan
217,0,0,0,2598.662465,425.3482078,1915.618688,8/5/2021,4939.629362,2469814.681,Pasar Bogor
218,976.4426959,0,0,0,448.6200428,1324.673029,8/6/2021,2749.735767,1374867.884,Pasar Pasundan
219,0,0,1846.062878,876.9560306,2138.286443,0,8/7/2021,4861.305351,2430652.676,Pasar Pasundan
220,253.4690882,0,0,0,0,3060.474804,8/8/2021,3313.943892,1656971.946,Pasar Pasundan
221,2892.662445,0,588.7552175,357.5202036,0,287.9267387,8/9/2021,4126.864605,2063432.303,Pasar Induk
222,573.5402394,0,1744.631958,0,0,977.8297384,8/10/2021,3296.001936,1648000.968,Pasar Pasundan
223,0,1006.314352,914.3306661,0,1143.667412,0,8/11/2021,3064.31243,1532156.215,Pasar Bogor
224,0,0,238.9959624,0,1127.997141,1417.743297,8/12/2021,2784.736401,1392368.2,Pasar Pasundan
225,1401.608653,936.642835,0,1200.425066,0,241.0820025,8/13/2021,3779.758557,1889879.278,Pasar Induk
226,0,1995.77203,0,253.1251868,322.0381991,1519.653968,8/14/2021,4090.589383,2045294.692,Pasar Induk
227,238.281891,0,0,624.2440883,2364.639585,1044.236221,8/15/2021,4271.401785,2135700.893,Pasar Induk
228,0,300.4665749,1879.605507,0,443.8769476,944.2923516,8/16/2021,3568.241381,1784120.691,Pasar Gudang
229,0,665.8613731,244.6811225,0,0,1971.577565,8/17/2021,2882.120061,1441060.03,Pasar Pasundan
230,379.8249457,0,0,0,730.1345847,3153.074813,8/18/2021,4263.034343,2131517.171,Pasar Induk
231,4349.959248,207.7315755,0,572.1377346,0,0,8/19/2021,5129.828558,2564914.279,Pasar Gudang
232,525.9438857,0,3276.814391,0,505.9462783,0,8/20/2021,4308.704555,2154352.278,Pasar Pasundan
233,884.1680987,0,288.1059146,0,4039.909196,0,8/21/2021,5212.18321,2606091.605,Pasar Bogor
234,4616.938006,227.5754134,232.782852,0,0,0,8/22/2021,5077.296271,2538648.136,Pasar Bogor
235,503.7601872,0,0,960.9345073,1853.116751,732.3994637,8/23/2021,4050.210909,2025105.455,Pasar Induk
236,571.650591,0,0,0,1985.338688,1325.74923,8/24/2021,3882.738509,1941369.255,Pasar Induk
237,0,241.1114456,877.5904564,779.7905997,0,1634.195872,8/25/2021,3532.688373,1766344.187,Pasar Induk
238,0,0,678.9022003,2028.28715,888.1061124,1344.338525,8/26/2021,4939.633987,2469816.994,Pasar Induk
239,0,474.7628996,1879.668981,0,924.4085367,0,8/27/2021,3278.840418,1639420.209,Pasar Gudang
240,2222.453246,1626.044931,0,367.5272116,321.348509,0,8/28/2021,4537.373897,2268686.949,Pasar Bogor
241,0,272.9485181,0,579.1561869,0,4290.704768,8/29/2021,5142.809473,2571404.736,Pasar Gudang
242,0,256.0284269,0,259.6231455,3568.869005,0,8/30/2021,4084.520577,2042260.289,Pasar Gudang
243,0,248.605878,0,1886.637759,598.4705372,1219.247371,8/31/2021,3952.961545,1976480.773,Pasar Bogor
244,0,249.5915227,0,2997.750288,623.8299071,0,9/1/2021,3871.171718,1935585.859,Pasar Gudang
245,600.1823539,1160.144749,394.2246247,0,0,0,9/2/2021,2154.551728,1077275.864,Pasar Gudang
246,3585.465388,1061.142691,0,0,335.9522293,0,9/3/2021,4982.560308,2491280.154,Pasar Pasundan
247,0,0,815.1776822,0,1262.035018,2932.235402,9/4/2021,5009.448102,2504724.051,Pasar Pasundan
248,0,0,2142.077526,0,1255.059143,1474.398839,9/5/2021,4871.535508,2435767.754,Pasar Pasundan
249,4902.157392,0,0,0,256.2516339,0,9/6/2021,5158.409026,2579204.513,Pasar Pasundan
250,0,0,250.282765,246.4212956,4600.186026,0,9/7/2021,5096.890086,2548445.043,Pasar Induk
251,0,0,489.5329355,264.2248401,0,3948.895684,9/8/2021,4702.653459,2351326.73,Pasar Bogor
